file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX200603179,1,1,"BÍTOV U KONĚPRUS, OKR. BEROUN - STAVBA ELEKTRICKÉ PŘÍPOJKY K RD",,,ces,0.9991,203.0,11,63,0.0,0,0,0,0,0,0,0.0,0.38,0.5,0.9,Clear,True
CTX200603179,1,2,ČP. 10,,,,0.0,0.0,0,6,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX200603179,1,3,NÁLEZOVÁ ZPRÁVA O ARCHEOLOGICKÉM DOHLEDU P,,,ces,1.0,87.0,6,42,0.0,0,0,0,0,0,0,0.0,0.4324,0.5135,0.9,Clear,True
CTX200603179,1,4,*AVerPEPNeblogický ústav,,,ces,0.8139,850.0,2,24,0.0417,1,1,0,0,1,0,0.25,0.4091,0.5,0.6577,Noisy,False
CTX200603179,1,5,ÚAPPSČ PRAHA,,,ces,0.9192,850.0,2,12,0.0,0,0,0,0,0,0,0.0,0.3636,0.3636,0.8404,Noisy,True
CTX200603179,1,6,09° 1 0 -04- 2006,,,ces,0.75,37.0,5,17,0.0588,1,0,0,0,0,0,0.18,0.0,0.0,0.9,Clear,False
CTX200603179,1,7,Zprávu podává: DANIEL STOLZ,,,ces,0.9998,51.25,4,27,0.037,0,0,0,0,0,0,0.0,0.3913,0.6087,0.9362,Clear,False
CTX200603179,1,8,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,9,"c,",,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX200603179,1,10,Čislo jednací: 424/05 Kl,,,ces,0.8591,51.25,4,24,0.0417,0,0,0,0,0,0,0.0,0.3571,0.3571,0.9,Clear,False
CTX200603179,1,11,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,12,Základní údaje:,,,ces,0.9988,12.94,2,15,0.0667,0,0,0,0,0,0,0.0,0.4615,0.3846,0.917,Clear,False
CTX200603179,1,13,Katastrální území: Bítov u Koněprus,,,ces,0.9999,334.0,5,35,0.0286,0,0,0,0,0,0,0.0,0.4333,0.4667,0.9,Clear,False
CTX200603179,1,14,Lokalita:,,,ces,0.75,153.0,1,9,0.1111,0,0,0,0,0,0,0.0,0.5,0.125,0.863,Noisy,False
CTX200603179,1,15,Parcelní čislo: 18,,,ces,0.9998,115.5,3,18,0.0556,0,0,0,0,0,0,0.0,0.3846,0.3846,0.8358,Noisy,False
CTX200603179,1,16,Okres Beroun,,,ces,0.8835,850.0,2,12,0.0,0,0,0,0,0,0,0.0,0.4545,0.7273,0.8388,Noisy,False
CTX200603179,1,17,Lokalizace v mapě 1:10 000:,,,ces,1.0,21.38,5,27,0.0741,0,0,0,0,0,0,0.0,0.4667,0.4,0.9,Clear,False
CTX200603179,1,18,Mapový list 12-41-17 okolo bodu 68/217 mm od Z a J sekční čáry,,,ces,0.9813,99.0,13,62,0.0,0,0,1,0,0,0,0.0269,0.4167,0.5833,0.9,Clear,False
CTX200603179,1,19,Název a druh akce: Stavba elektrické přípojky k RD čp. 10,,,ces,1.0,40.0,11,57,0.0175,0,0,0,0,0,0,0.0,0.3488,0.4186,0.9,Clear,False
CTX200603179,1,20,"Investor: Václav Kubík, Tyršova 75, 266 01 Beroun",,,ces,0.75,42.5,8,49,0.0204,0,0,0,0,0,0,0.0,0.4062,0.5312,0.9,Clear,False
CTX200603179,1,21,"Základní metoda archeologického výzkumu, dohled",,,ces,1.0,12.56,5,47,0.0,0,0,0,0,1,0,0.0,0.4286,0.4762,0.9662,Clear,False
CTX200603179,1,22,Doba výzkumu: únor 2005,,,ces,0.9998,38.75,4,23,0.0435,0,0,0,0,0,0,0.0,0.4667,0.6667,0.9,Clear,False
CTX200603179,1,23,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,24,Okolnosti a cil \ýzkumu:,,,ces,0.9448,16128.0,4,24,0.0833,0,0,0,0,0,0,0.0,0.4737,0.4737,0.7166,Noisy,False
CTX200603179,1,25,Byla provedena kontrola odkrytých výkopů.,,,ces,0.9998,163.0,5,41,0.0,0,0,0,0,0,0,0.0,0.4167,0.5,0.9481,Clear,False
CTX200603179,1,26,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,27,Zaměřeni:,,,ces,1.0,148.0,1,9,0.1111,0,0,0,0,0,0,0.0,0.5,0.5,0.8965,Noisy,False
CTX200603179,1,28,Zaměřeni bylo provedeno do základní mapy 1:10 000.,,,ces,1.0,20.75,8,50,0.02,0,0,0,0,0,0,0.0,0.4571,0.6571,0.9,Clear,False
CTX200603179,1,29,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,30,Popis terénni situace:,,,ces,0.75,2048.0,3,22,0.0455,0,0,0,0,0,0,0.0,0.4737,0.5263,0.7786,Noisy,False
CTX200603179,1,31,Ve výkopu byly zjištěny pouze geologické situace,,,ces,1.0,58.0,7,48,0.0,0,0,0,0,0,0,0.0,0.5,0.5476,0.936,Clear,False
CTX200603179,1,32,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,33,Zhodnoceni:,,,ces,0.9448,850.0,1,11,0.0909,0,0,0,0,0,0,0.0,0.4,0.7,0.8068,Noisy,False
CTX200603179,1,34,Nebyly porušeny archeologické situace.,,,ces,0.9997,112.0,4,38,0.0,0,0,0,0,0,0,0.0,0.5,0.5,0.9534,Clear,False
CTX200603179,1,35,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX200603179,1,36,V Kladně 30. 12. 2005 Mgr. Daniel Stolz,,,ces,0.9984,37.5,8,39,0.0,0,0,0,0,0,0,0.0,0.2857,0.4762,0.9,Clear,False
