file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX201601688,1,1,SKU Hrovnadbělou,,,ces,0.9999,850.0,2,16,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.8305,Clear,False
CTX201601688,1,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,1,3,"Hrad, sběry 1998",,,ces,0.9994,174.0,3,16,0.0,0,0,0,0,0,0,0.0,0.3333,0.4444,0.8404,Clear,False
CTX201601688,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,1,5,Muzeumagalerie v Rychnově n. Kn.,,,ces,1.0,346.0,5,32,0.0,0,0,0,0,0,0,0.0,0.4231,0.5769,0.756,Clear,False
CTX201601688,1,6,PhDr. Martina Beková,,,ces,0.75,268.0,3,20,0.0,0,1,0,0,0,1,0.0333,0.3529,0.4706,0.7843,Clear,False
CTX201601688,1,7,Bohumír Dragoun,,,ces,0.8297,804.0,2,15,0.0,0,0,0,0,0,0,0.0,0.4286,0.5714,0.8284,Clear,False
CTX201601688,2,1,"SKUHROV NAD BĚLOU hrad, sběry 1998",,,ces,0.9998,158.0,6,34,0.0,0,0,0,0,0,0,0.0,0.375,0.5417,0.8978,Clear,False
CTX201601688,2,2,Geomorfologický popis,,,ces,0.8482,237.0,2,21,0.0,0,0,0,0,1,0,0.0,0.45,0.5,0.9024,Clear,False
CTX201601688,2,3,"Hrad se nachází na ostrožně nad řekou Bělou, na úpatí svahů svírajících tok Bělévrámci",,,ces,1.0,131.0,14,86,0.0,0,0,0,0,0,0,0.0,0.4306,0.3889,0.9183,Clear,False
CTX201601688,2,4,"skuhrovské části Podorlické pahorkatiny (SLÁDEK, J. 1977: Zeměpisné vymezení a",,,ces,0.9983,79.5,10,78,0.0128,0,0,0,0,0,0,0.0,0.4098,0.4918,0.8917,Clear,False
CTX201601688,2,5,"regionální členění in: Příroda Orlických hor a Podorlicka, Praha 1977, 13-87).",,,ces,1.0,82.0,11,78,0.0128,0,0,0,0,0,0,0.0,0.4259,0.3333,0.8721,Clear,False
CTX201601688,2,6,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,7,Podložíapůdní pokryv,,,ces,0.9995,458.0,2,20,0.0,0,0,0,0,0,0,0.0,0.4211,0.5789,0.8913,Clear,False
CTX201601688,2,8,"Oglejené půdy na fylitech ( NÁLEVKA, B. 1977: Půdní poměry, in: Příroda Orlických hor a",,,ces,1.0,131.0,15,87,0.023,0,0,0,0,0,0,0.0,0.4286,0.4286,0.8583,Clear,False
CTX201601688,2,9,"Podorlicka, Praha 1977, 287-308.).",,,ces,0.75,36.25,4,34,0.0,0,0,0,0,0,0,0.0,0.4,0.3333,0.781,Clear,False
CTX201601688,2,10,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,11,Historie naleziště,,,ces,1.0,624.0,2,18,0.0,0,0,0,0,0,0,0.0,0.4706,0.3529,0.8654,Clear,False
CTX201601688,2,12,"Hrad na ostrožně, dvojdílný (předhradíavlastní hradní areál, patrně plášťový). Patrně založen",,,ces,1.0,70.0,11,93,0.0,0,0,0,0,1,0,0.0,0.3718,0.4103,0.9536,Clear,False
CTX201601688,2,13,"Tasem ze Skuhrova kolem r. 1320, za Jiřího z Poděbrad pustne, v roce 1558 jmenován jako",,,ces,1.0,79.5,16,87,0.0,0,0,0,0,0,0,0.0,0.3934,0.5738,0.8677,Clear,False
CTX201601688,2,14,"pustý (Musil, F., Svoboda, L. 1998: Hrady zámkyatvrze okresu Rychnov nad Kněžnou, s.",,,ces,0.992,61.75,13,84,0.0119,0,0,0,0,0,0,0.0,0.3729,0.5932,0.8881,Clear,False
CTX201601688,2,15,153-156).,,,,0.0,0.0,0,9,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,2,16,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,17,Okolnostiacíl výzkumu,,,ces,0.9373,430.0,2,21,0.0,0,0,0,0,0,0,0.0,0.45,0.5,0.8929,Clear,False
CTX201601688,2,18,Sběr.,,,ces,1.0,850.0,1,5,0.0,0,0,0,0,0,0,0.0,0.25,0.5,0.799,Clear,False
CTX201601688,2,19,"1. Sběr J. Slavík, Památkový ústav Pardubice.",,,ces,0.9997,35.75,7,45,0.0,0,0,0,0,0,0,0.0,0.3824,0.4412,0.8841,Clear,False
CTX201601688,2,20,2. Sběr archeologický kroužek Villa Nova pod vedením D. Vícha.,,,ces,0.9991,123.0,10,62,0.0,0,0,0,0,0,0,0.0,0.4082,0.4694,0.9062,Clear,False
CTX201601688,2,21,"3. Sběr Slavík, Památkový ústav Pardubice",,,ces,0.9999,49.75,6,41,0.0,0,0,0,0,0,0,0.0,0.3939,0.4545,0.915,Clear,False
CTX201601688,2,22,Metoda výzkumu,,,ces,0.9999,96.0,2,14,0.0,0,0,0,0,0,0,0.0,0.4615,0.6923,0.9426,Clear,False
CTX201601688,2,23,Povrchový sběr.,,,ces,0.9997,135.0,2,15,0.0,0,0,0,0,0,0,0.0,0.3077,0.5385,0.9286,Clear,False
CTX201601688,2,24,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,25,Zaměření,,,ces,1.0,53.0,1,8,0.0,0,0,0,0,0,0,0.0,0.5,0.5,0.9461,Clear,False
CTX201601688,2,26,Zaměření provedla autorka zprávy dle popisu sběračů do plánů hradu.,,,ces,1.0,56.25,10,67,0.0,0,0,0,0,0,0,0.0,0.4386,0.5263,0.9481,Clear,False
CTX201601688,2,27,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,28,Popis terénní situace,,,ces,1.0,1128.0,3,21,0.0,0,0,0,0,0,0,0.0,0.4737,0.5263,0.8105,Clear,False
CTX201601688,2,29,1. Sběr J. Slavík nad vnitřním příkopem jak ze strany předhradí tak vlastního hradu (viz,,,ces,1.0,74.5,15,88,0.0,0,0,0,0,0,0,0.0,0.3286,0.4571,0.9284,Clear,False
CTX201601688,2,30,plánek polohy 1). Nalezeny 4 fragmenty keramiky. 5. 3. 1998,,,ces,0.9874,37.5,10,59,0.0,0,0,0,0,0,0,0.025,0.4324,0.5405,0.834,Clear,False
CTX201601688,2,31,"2. Sběr archeologický kroužek Villa Nova 11. 8. 1998, úbočí hradního kopce směrem",,,ces,1.0,45.25,13,81,0.0,0,0,0,0,0,0,0.0,0.4211,0.4211,0.9004,Clear,False
CTX201601688,2,32,"k vesnici (viz. plánek poloha 2). Nalezeno 14 drobnějších fragmentů, okrajeazl.",,,ces,0.9997,102.0,11,79,0.0,0,0,0,0,0,0,0.0,0.3833,0.4667,0.8961,Clear,False
CTX201601688,2,33,"zásobnice, vše 14. -15. stol.",,,ces,0.768,56.25,5,29,0.0,0,0,0,0,0,0,0.0,0.375,0.625,0.822,Clear,False
CTX201601688,2,34,"3. Sběr J. Slavík, jádro hradu (viz plánek polohy 3). Nalezeny 3 fragmenty keramiky. 5.",,,ces,0.9994,96.0,15,87,0.0,0,0,0,0,0,0,0.0167,0.3934,0.4918,0.8816,Clear,False
CTX201601688,2,35,3.1998,,,,0.0,0.0,0,6,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,2,36,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,37,Zhodnoceníainterpretace výsledků výzkumu,,,ces,1.0,72.5,3,40,0.0,0,0,0,0,1,0,0.0,0.4211,0.5526,0.9491,Clear,False
CTX201601688,2,38,"Nalezeny zlomky keramikyzkulturních vrstev existence hradu, 14. -15. stol., naprostá",,,ces,0.9973,216.0,10,84,0.0,0,0,0,0,1,1,0.0,0.3692,0.5385,0.8932,Clear,False
CTX201601688,2,39,převaha zl. z 15. stol.,,,ces,1.0,58.0,5,23,0.0,0,0,0,0,0,0,0.0,0.2857,0.5,0.7858,Clear,False
CTX201601688,2,40,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,2,41,Seznam nálezů,,,ces,1.0,52.0,2,13,0.0,0,0,0,0,0,0,0.0,0.4167,0.6667,0.9487,Clear,False
CTX201601688,2,42,Viz příloha,,,ces,1.0,230.0,2,11,0.0,0,0,0,0,0,0,0.0,0.4,0.4,0.921,Clear,False
CTX201601688,3,1,Přír.č.,,,ces,1.0,115.5,1,7,0.0,0,0,0,0,0,1,0.0,0.2,0.2,0.859,Clear,False
CTX201601688,3,2,Název,,,ces,1.0,31.62,1,5,0.0,0,0,0,0,0,0,0.0,0.4,0.8,0.9478,Clear,False
CTX201601688,3,3,Počet,,,ces,0.75,8.38,1,5,0.0,0,0,0,0,0,0,0.0,0.4,0.6,0.9254,Clear,False
CTX201601688,3,4,Výzkum,,,ces,1.0,40.5,1,6,0.0,0,0,0,0,0,0,0.0,0.3333,0.6667,0.9469,Clear,False
CTX201601688,3,5,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,6,Poloha,,,ces,0.778,850.0,1,6,0.0,0,0,0,0,0,0,0.0,0.5,0.5,0.8144,Clear,False
CTX201601688,3,7,Inv. č.,,,ces,0.75,472.0,2,7,0.0,0,0,0,0,0,0,0.0,0.25,0.5,0.6917,Noisy,False
CTX201601688,3,8,Poznámka,,,ces,0.9986,43.25,1,8,0.0,0,0,0,0,0,0,0.0,0.375,0.625,0.9474,Clear,False
CTX201601688,3,9,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,10,A678/2015,,,,0.0,0.0,0,9,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,11,keramika,,,ces,0.75,486.0,1,8,0.0,0,0,0,0,0,0,0.0,0.5,0.25,0.8422,Clear,False
CTX201601688,3,12,4,,,,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,13,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,14,Skuhrov,,,ces,0.9984,850.0,1,7,0.0,0,0,0,0,0,0,0.0,0.2857,0.5714,0.8259,Clear,False
CTX201601688,3,15,hrad,,,ces,0.75,850.0,1,4,0.0,0,0,0,0,0,0,0.0,0.25,0.25,0.8024,Clear,False
CTX201601688,3,16,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,17,sběr Slavík J.,,,ces,1.0,197.0,3,14,0.0,0,0,0,0,0,0,0.0,0.2727,0.3636,0.8348,Clear,False
CTX201601688,3,18,(viz. NZ,,,ces,0.9713,850.0,2,8,0.0,0,0,0,0,0,0,0.0,0.2,0.8,0.6676,Noisy,False
CTX201601688,3,19,"Skuhrov 1998,",,,ces,0.9823,79.5,2,13,0.0,0,0,0,0,0,0,0.0,0.2857,0.5714,0.8087,Clear,False
CTX201601688,3,20,poloha 1),,,ces,0.75,268.0,2,9,0.0,0,0,0,0,0,0,0.125,0.5,0.5,0.7381,Clear,False
CTX201601688,3,21,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,22,A1737,,,,0.0,0.0,0,5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,23,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,24,3 atypické zlomkyzvýdutí,,,ces,0.787,304.0,3,24,0.0,0,0,0,0,0,0,0.0833,0.4286,0.4762,0.8116,Clear,False
CTX201601688,3,25,"nepolévaných nádob, prakticky bílé",,,ces,0.9932,536.0,4,34,0.0,0,0,0,0,0,0,0.0,0.4,0.4333,0.8824,Clear,False
CTX201601688,3,26,"zboží, 2. pol. 15. stol. + zlomek",,,ces,0.75,46.0,7,33,0.0303,0,0,0,0,0,0,0.0,0.3333,0.6111,0.7949,Clear,False
CTX201601688,3,27,okraje - velmi nizké vysazené,,,ces,1.0,237.0,5,29,0.0,0,0,0,0,0,0,0.0,0.4583,0.5417,0.8745,Clear,False
CTX201601688,3,28,"okruží, červená linka na okruží,",,,ces,0.9386,44.5,5,32,0.0,0,0,0,0,0,0,0.0,0.4615,0.3846,0.8981,Clear,False
CTX201601688,3,29,"další na podhrdlí, váha 90,9g.",,,ces,0.9899,286.0,5,30,0.0,0,0,0,0,1,0,0.0,0.35,0.35,0.8026,Clear,False
CTX201601688,3,30,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,31,A679/2015,,,,0.0,0.0,0,9,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,32,keramika,,,ces,0.75,486.0,1,8,0.0,0,0,0,0,0,0,0.0,0.5,0.25,0.8422,Clear,False
CTX201601688,3,33,23,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,34,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,35,Skuhrov,,,ces,0.9984,850.0,1,7,0.0,0,0,0,0,0,0,0.0,0.2857,0.5714,0.8259,Clear,False
CTX201601688,3,36,hrad,,,ces,0.75,850.0,1,4,0.0,0,0,0,0,0,0,0.0,0.25,0.25,0.8024,Clear,False
CTX201601688,3,37,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,38,sběr arch.,,,ces,0.9997,850.0,2,10,0.0,0,0,0,0,0,0,0.0,0.25,0.25,0.8145,Clear,False
CTX201601688,3,39,kroužek(viz.,,,ces,0.9831,850.0,1,12,0.0,0,0,0,0,0,0,0.0,0.4,0.5,0.806,Clear,False
CTX201601688,3,40,NZ Skuhrov,,,ces,0.9771,850.0,2,10,0.0,0,0,0,0,0,0,0.0,0.2222,0.6667,0.7014,Clear,False
CTX201601688,3,41,"1998,poloha 2)",,,ces,0.8006,153.0,2,14,0.0,0,0,0,0,0,0,0.125,0.5,0.5,0.6393,Noisy,False
CTX201601688,3,42,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,43,A1738,,,,0.0,0.0,0,5,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX201601688,3,44,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,3,45,14 atypických zlomků keramiky,,,ces,0.9981,119.5,4,29,0.0,0,0,0,0,0,0,0.0,0.4167,0.3333,0.884,Clear,False
