file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,categ
CTX198703605,1,1,Kat. území: Obec:  B Ř E Z N O,,,ces_Latn,0.9998,714.63,Clear
CTX198703605,1,2,Trať: Okres:  Louny,,,ces_Latn,0.9386,1921.23,Clear
CTX198703605,1,3,Kultura a druh nálezu:  experiment,,,ces_Latn,0.8467,3647.66,Clear
CTX198703605,1,4,ved. výzkumu,,,ces_Latn,0.9986,399.15,Clear
CTX198703605,1,5,Dr. I.,,,hun_Latn,0.5724,56.11,Noisy
CTX198703605,1,6,Zpráva,,,ces_Latn,1.0000,4575.00,Clear
CTX198703605,1,7,Pleinerová koreferenta komise,,,ces_Latn,0.9796,835.62,Clear
CTX198703605,1,8,za období: ved. oddělení o výpalu v experimentální hrnčířské peci v Březně,,,ces_Latn,1.0000,328.53,Clear
CTX198703605,1,10,do,,,N/A,0,0,Non-text
CTX198703605,1,15,7,,,N/A,0,0,Non-text
CTX198703605,1,18,27.-29.10.1987,,,N/A,0,0,Non-text
CTX198703605,1,26,"""  TZ 64 10398 81 / J 0,22 7-  -  I'",,,N/A,0,0,Non-text
CTX198703605,2,3,6.11.1987 7vlq,,,N/A,0,0,Non-text
CTX198703605,2,5,"477,, z> »7.",,,N/A,0,0,Non-text
CTX198703605,1,9,Ve dnech 27.-29.10.1987 byl  pravěképroveden výpal replik a středověké keramiky v pokusné hrnčířské peci v Březně.,,,ces_Latn,1.0000,306.77,Clear
CTX198703605,1,11,První,,,ces_Latn,1.0000,1903.95,Clear
CTX198703605,1,12,"den zabraly přípravné práce, týkající se především transportu a přípravy paliva. Vlastní akce proběhla 28.10.  Ve 12 hod. se vložila keramika  pece a instalovalo měřící  (sondyzařízení umístěné na kraj a na střed pece). Ve 13 hod. byla pec zapálena a topení skončilo krátce před 18. hod. Vsázka",,,ces_Latn,1.0000,158.24,Clear
CTX198703605,1,13,komisí,,,ces_Latn,0.9930,3194.41,Clear
CTX198703605,1,14,byla z pece vyjmuta ta následující den ráno. Výpalu se účastnili mimo vedoucí experimentálního mentálního stanoviště tito pracovníci AÚ:,experi,,ces_Latn,1.0000,321.75,Clear
CTX198703605,1,16,"Ing. M. Soudný, M.Preisle- rová a P.Kalkušová.",,,ces_Latn,0.9778,339.10,Clear
CTX198703605,1,17,"Akce byla zaměřena na vypálení tzv. černé keramiky. V keramické mické laboratoři AÚ bylo z březenského jílu zhotoveno 27 nádob. Zvláštní pozornost byla věnována jejich povrchu, který byl po zaschnutí, schnutí, kdy dosáhl kožovitého vzhledu (t.j. asi za 1-2 dny), vyhlazován a leštěn oblázkem. Mimo nádoby",vy,,ces_Latn,1.0000,247.48,Clear
CTX198703605,1,19,bylo k výpalu připraveno ještě  kachlů.,,,ces_Latn,1.0000,277.23,Clear
CTX198703605,1,20,Protože mělo jít o,,,ces_Latn,1.0000,98.46,Clear
CTX198703605,1,21,hlazován,,,ces_Latn,1.0000,8560.29,Clear
CTX198703605,1,22,"""redukční”výpal, bylo v plánu pohybovat se  mezi 500°-700°C a jak kychtu, tak topný otvor pokud možno přivírat, aby byl omezen přístup kyslíku. Oba požadavky byly",,,ces_Latn,1.0000,290.91,Clear
CTX198703605,1,23,Poznámka: Pište pokud možno strojem. Na konci uveďte datum odeslání a čitelný podpis. Zprávy koreferentů a vyhotovte dvojmo. —,,,ces_Latn,0.9869,315.60,Clear
CTX198703605,1,24,teplotně,,,ces_Latn,1.0000,3708.73,Clear
CTX198703605,1,25,' f i- - Hvedena,,,dan_Latn,0.9826,7762.89,Noisy
CTX198703605,2,1,"v podstatě dodrženy. Pokud jde o dosažení tmavého povrchu nádoby, byla akce jednoznačně úspěšná. Určité chyby jsme se však dopustili v počáteční čáteční fázi (nepředehřátí, poměrně rychlejší začátek topení), takže nádoby, které byly umístěny uprostřed pece, tedy na teplotně plotně nejexponovanějším místě, popraskaly. Nepoškozeno zůstalo lo 20 mádob a všechny kachle. Ukázalo se, že temně šedý až černý povrch není závislý např. na potření nádob tukem, na obalení trávou a pod., ale je podmíněn způsobem topení a teplotou, což lze považovat za důležité žité zjištění. Podrobný popis průběhu výpalu s grafem teplot",důle,,ces_Latn,1.0000,137.22,Clear
CTX198703605,2,2,a další dokumentací bude předložen v samostatné zprávě.,,,ces_Latn,1.0000,238.28,Clear
CTX198703605,2,4,T . H p 7,,,eng_Latn,0.9998,2563.31,Clear
CTX198703605,2,6,P I provedena,,,bos_Latn,0.7026,138867.33,Trash
