file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,quality_score,categ,caps_header
CTX197901442,1,3,‘ *4242& -,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Non-text,False
CTX197901442,1,7,,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Empty,False
CTX197901442,1,13,,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Empty,False
CTX197901442,1,14,ho,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Non-text,False
CTX197901442,1,23,", ■",,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Non-text,False
CTX197901442,1,24,,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Empty,False
CTX197901442,1,25,Ľne 22. 11.1974 . 7,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Non-text,False
CTX197901442,1,30,,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Empty,False
CTX197901442,1,32,<• 55 1501 M,,,N/A,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0.0000,0.0000,Non-text,False
