file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,categ
CTX195604907,1,1,490¥/56,,,N/A,0,0,Non-text
CTX195604907,1,4,21.12.1956 2%,,,N/A,0,0,Non-text
CTX195604907,1,2,Ústřední správa geodesie a kartografie,,,ces_Latn,0.9995,482.20,Clear
CTX195604907,1,3,Haštalská 27 Praha  I.,,,ces_Latn,0.9871,1120.49,Clear
CTX195604907,1,5,"Podle ujednání o spolupráci OÚGK a moř.skup. AÚ ČSAV na měříc- kých pracích na Hradišti nad Závistí v r. 1956,  v zápisu su z 12.12.1955, zaměřil v r. 1956 OÚGK /s.ing Vildvald/ 65 polyg. bodli a dodal včas jejich souřadnice a nadm. výšky . Všechny body byly ly stabilisovány železnými trubkami. Včasným dodáním výsledků byl zajištěn plynulý průběh podrobného měření ve",by,,ces_Latn,1.0000,208.73,Clear
CTX195604907,1,6,"měřioké skupiny. Ve smyslu téhož ujednání dodala měř.skup. AÚ ČSAV  smluveném termínu provozu 2, oddílu",,,ces_Latn,1.0000,631.22,Clear
CTX195604907,1,7,vyjádřeného,,,ces_Latn,1.0000,460.46,Clear
CTX195604907,1,8,203 /s. Fr. Kučerovi/ astralony a výškopisu prvních 5 listů plánu Hradiště s přísl. popisovými průsvitkami vitkami k reprodukci. Po dohodnutých úpravách má být dvoubarevný tisk těchto 5 listů proveden v lednu 1957. V,průs,,ces_Latn,0.9999,355.48,Clear
CTX195604907,1,9,polohopisu,,,ces_Latn,0.8954,10148.47,Clear
CTX195604907,1,10,"této souvislosti je třeba zvlášt vyzvednout nevšední porozumění mění vedoucího provozu 2, oddílu 203, s. Pr. Kučery, který se ochotně ujal tohoto úkolu, usměrnil úkony, ním",porozu,,ces_Latn,1.0000,205.54,Clear
CTX195604907,1,11,"spojené o kartografickým zpracováním mapových listu ve smyslu moderních reprodukčních method a tak  • zajistil, že soubor plánů Hradiště nad Závistí /celkem 10 listů/ bude de i po grafické stránce dobře representovat naši vyspělou reprodukční ní techniku. ČSAV Archeologický ustav má zájem na tom, aby i dokončení shora uvedených  t.j. úpravy a reprodukeprací,  zbývajících 5 listů /polohopis a výškopis budehopis  dodán měř. skup. „AÚ nejpozděj do konce června 1957/, bylo svěřeno s. Fr. Kučerovi. Ředitelství AU ČSAV současně vyslovuje slovuje s. Fr. Kučerovi  zadík  jeho dosavadní plodnou Záchranné",vy,,ces_Latn,1.0000,260.59,Clear
CTX195604907,1,12,spolupráci. oddělení Archeologického ustavu ČSAV Dr Jan  Rataj  v.r.,,,ces_Latn,0.9680,819.80,Clear
CTX195604907,1,13,SPISOVNA,,,ces_Latn,0.4243,1617.68,Noisy
CTX195604907,1,14,dr Hataj,,,epo_Latn,0.9852,2012.31,Noisy
