file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,categ
CTX193202973,1,15,"K,",,,N/A,0,0,Non-text
CTX193202973,1,1,V o d ň a n y /okr. Písek /.,,,ces_Latn,0.9563,675.93,Clear
CTX193202973,1,2,Vypsáno ze zd. č.j. 2925/ 32,,,ces_Latn,0.9992,721.49,Clear
CTX193202973,1,3,"Podle  právy četnioké stanice ve Vodnanech  a podle udání  Jindřicha Bubly, podnikatele",,,ces_Latn,1.0000,999.63,Clear
CTX193202973,1,4,"staveb vodních a regulačních v Horažďovicích,  bylg v roce 1931  při regulaci řeky Blani -",,,ces_Latn,1.0000,571.67,Clear
CTX193202973,1,5,ce nalezeno jedním dělníkem mezi  Kulhánkovým a Dubskýchmlýnem  18 bronzových,,,ces_Latn,1.0000,340.88,Clear
CTX193202973,1,6,Dvě hřivny odevzdal stavbyvedoucí,,,ces_Latn,1.0000,977.62,Clear
CTX193202973,1,7,hřiven.,,,ces_Latn,0.9982,963.76,Clear
CTX193202973,1,8,"Bartyzal Městskému mueéu v Písku, ostatní podnikateli",,,ces_Latn,0.9997,1073.56,Clear
CTX193202973,1,9,"staveb Bublovi v Horažďovicích. Tento  se souhlasem družstva, pro regulaci řeky Blaníce",,,ces_Latn,1.0000,1033.72,Clear
CTX193202973,1,10,"ve Vodherech odexsdal Museu ve Vodnanech 3 hřivny, museu v Horažďovicích 2, obecné škole",,,ces_Latn,0.9995,779.48,Clear
CTX193202973,1,11,"tamže  1; ostatní  hřivny  s výjimkou dvou, které si nechal ,",,,ces_Latn,1.0000,429.58,Clear
CTX193202973,1,12,"dal  stavebníkovi, totiž",,,ces_Latn,0.8850,987.87,Clear
CTX193202973,1,13,Vodnímu  družstvu ve Vodnanech.  •,,,ces_Latn,0.9993,939.03,Clear
CTX193202973,1,14,"V Praze, dne 2. prosince  1932..",,,ces_Latn,0.9891,6940.03,Clear
