file,page_num,num_lines,Clear,Noisy,Trash,Non-text,Empty,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX199603106,1,25,6,7,0,1,11,67,319,0.8043615384615385,0.07515384615384615,0.8826461538461537,173.76923076923077,0.07692307692307693,0.4168,0.5089769230769231,0.15384615384615385,ces
CTX199603106,2,29,23,1,0,1,4,222,1409,0.9202208333333334,0.006395833333333333,0.9906125,95.30208333333333,0.0,0.409125,0.5485,0.0,ces
CTX199603106,3,32,30,0,0,1,1,316,1935,0.92319,0.006466666666666667,0.9885366666666666,98.51866666666666,0.0,0.4132866666666667,0.50617,0.0,ces
CTX199603106,4,45,27,0,0,2,16,249,1639,0.9214888888888888,0.003007407407407407,0.9994444444444445,94.85185185185185,0.037037037037037035,0.41155925925925924,0.5298407407407407,0.0,ces
CTX199603106,5,26,14,0,0,1,11,139,893,0.9218571428571429,0.01,0.9999642857142856,91.56285714285715,0.14285714285714285,0.41176428571428575,0.5274857142857143,0.0,ces
CTX199603106,6,33,18,3,0,2,10,156,947,0.8959428571428573,0.009195238095238095,0.9221571428571429,246.20238095238096,0.0,0.40094761904761905,0.4741952380952381,0.0,ces
CTX199603106,8,1,0,0,0,1,0,0,0,,,,,,,,,
CTX199603106,9,6,0,2,0,2,2,4,17,0.79385,0.04165,0.875,466.0,0.0,0.3095,0.38095,0.0,ces
