file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX193001369,1,1,NĚ KATOVICE,,,ces,1.0,87040.0,2,11,0.0,0,0,0,0,0,0.0,0.5,0.4,0.561,Noisy,True
CTX193001369,1,2,okr. Brandýs n/L.,,,ces,0.75,1592.0,3,17,0.0,0,1,0,0,0,0.0333,0.25,0.5,0.575,Noisy,False
CTX193001369,1,3,GEC,,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,5,"ČSL sTAT""I ARCaACONCCN t., .",,,ces,0.75,3168.0,5,28,0.0357,0,2,0,0,0,0.04,0.3,0.25,0.5714,Noisy,False
CTX193001369,1,6,ŕ : UW Dos & 837mm. i b.,,,ces,0.75,1168.0,8,24,0.0833,1,0,0,0,0,0.1062,0.3,0.8,0.3999,Trash,False
CTX193001369,1,7,UJ - Počet pilo’a,,,ces,0.75,828.0,4,17,0.0588,1,0,0,0,0,0.1,0.5,0.5,0.4829,Noisy,False
CTX193001369,1,8,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,9,Hroby se zvôncovymi poháry.,,,ces,0.9685,1064.0,4,27,0.0,0,0,0,0,0,0.0,0.3913,0.6522,0.6446,Noisy,False
CTX193001369,1,10,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,11,F,,,,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,1,A.,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,3,NERATOVICE.,,,ces,0.75,5216.0,1,11,0.0,0,0,0,0,0,0.0,0.5,0.5,0.6928,Noisy,True
CTX193001369,2,4,okr. Brandýs n/L. GEC,,,ces,0.75,1808.0,4,21,0.0,0,1,0,0,0,0.025,0.2667,0.4667,0.6124,Noisy,False
CTX193001369,2,5,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,6,Hrobyse zvoncovými poháry,,,ces,0.8634,216.0,3,25,0.0,0,0,0,0,0,0.0,0.4348,0.6522,0.8818,Clear,False
CTX193001369,2,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,8,"Na levém břehu Labe v Neratovicích, v pískovně továrny GEC roz-",,,ces,1.0,356.0,11,63,0.0,0,0,0,0,0,0.0,0.3922,0.5294,0.8036,Clear,False
CTX193001369,2,9,"kládalose větší pohřebiště se zvoncovými poháry, jež bylo v r.1928",,,ces,1.0,38.0,10,66,0.0,0,0,0,0,0,0.0,0.4118,0.5098,0.8623,Clear,False
CTX193001369,2,10,prozkoumáno St.A.0. *ot> 8y A*- * “7 -,,,ces,0.9767,1064.0,8,38,0.1316,4,1,0,0,0,0.1625,0.5,0.6111,0.3904,Trash,False
CTX193001369,2,11,' w.,,,,0.0,0.0,0,4,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,12,"Hrob 1. / 20•A. 1928. / Poloha milodarů nemohla býti zjištěna,",zji,,ces,0.9999,82.0,11,62,0.0161,1,0,0,0,0,0.0364,0.4474,0.3947,0.6999,Noisy,False
CTX193001369,2,13,"nebot obsah hrobu / 4 nádoby, nátepní destička a bronzová dýč-",,"štěna,",ces,0.98,203.0,11,62,0.0,0,0,0,0,0,0.0227,0.4167,0.6042,0.8254,Clear,False
CTX193001369,2,14,"ka / byl vybrán teprve způdy, zřícené následkem trvalých dešťů.",,,ces,1.0,53.0,10,63,0.0,0,0,0,0,0,0.0,0.3529,0.5098,0.8829,Clear,False
CTX193001369,2,15,"Nádoba 1. Zvoncový pohár s plochým dnem, tmavě Červený, na nezdobených",,,ces,0.9001,45.25,11,70,0.0,0,0,0,0,0,0.0,0.375,0.625,0.8706,Clear,False
CTX193001369,2,16,"částechvně jší strany jemně leštěný. VtlaČovaná výzdoba, nesoucí dosud",,,ces,1.0,127.0,9,70,0.0,0,1,0,0,0,0.0111,0.4,0.5167,0.9367,Clear,False
CTX193001369,2,17,"stopy bé inkrustace, pokrývá v sedmi vodorovných pruzích celý povrch",,,ces,0.8813,119.5,10,68,0.0,0,0,0,0,0,0.0,0.3621,0.5345,0.8812,Clear,False
CTX193001369,2,18,", poháru. Rozměry : v - 185""mm, pr. okraje - 20 mm, pr. dna - 80 mm.",,,ces,0.9788,37.0,17,68,0.0294,0,0,0,0,1,0.0,0.303,0.6061,0.6959,Noisy,False
CTX193001369,2,19,"Tb.I.,1. ; V., 4. č.neg420.",,,ces,0.75,486.0,5,27,0.037,0,1,0,0,2,0.02,0.25,0.5,0.4517,Noisy,False
CTX193001369,2,20,"Nádoba 2* Zvoncový pohár se zakulaceným, uprostřed promáčknutým dnem,",,,ces,0.9927,70.0,9,69,0.0145,1,0,0,0,0,0.0444,0.386,0.614,0.6999,Noisy,False
CTX193001369,2,21,"tmavě červený, na nezdobených částech vnější strany hlazený. Výzdoba",,,ces,1.0,58.0,9,68,0.0,0,0,0,0,0,0.0,0.3793,0.5172,0.9172,Clear,False
CTX193001369,2,22,"v některých místech silně bíle inkrustovaná, tvoří 5 vodorovných pruhů,",,,ces,1.0,40.0,10,71,0.0,0,0,0,0,0,0.025,0.3729,0.4576,0.8924,Clear,False
CTX193001369,2,23,pokrývajících ce_lý povrch nádoby až k proláklině ve dnu. Rozměry: v -,,,ces,1.0,179.0,12,70,0.0286,0,0,0,0,0,0.0,0.3818,0.4545,0.7978,Clear,False
CTX193001369,2,24,"145 mm, pr. okraje - 167 mm, pr. dna - 57 mm. - •",,,ces,0.75,68.0,14,49,0.0204,1,0,0,0,0,0.0,0.2105,0.6316,0.6415,Noisy,False
