file,page_num,Clear,Noisy,Trash,Non-text,Empty,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX192700799,4,23,1,2,0,8,182,1101,0.8626458333333332,0.025650000000000003,0.9470333333333333,0.0,0.08333333333333333,0.4026166666666667,0.0,ces
CTX193100253,46,33,6,1,8,1,266,1667,0.8322179487179486,0.036469230769230775,0.9125589743589745,0.0,0.15384615384615385,0.3956025641025641,0.02564102564102564,ces
CTX193202278,11,61,19,18,37,102,265,1446,0.78191375,0.031080000000000003,0.9396275,0.0,0.0625,0.3049575,0.0125,ces
CTX193401762,9,3,13,4,11,7,112,577,0.6694375,0.161775,0.783375,0.0,1.25,0.4590125,0.0,ces
CTX193600857,33,34,4,0,2,1,377,2173,0.7600605263157895,0.043050000000000005,0.7892684210526316,0.0,0.05263157894736842,0.3799052631578947,0.0,ces
CTX193702477,82,1,0,0,0,0,2,11,0.7328,0.05,0.75,0.0,0.0,0.4444,0.0,ces
CTX193801636,131,31,0,0,2,0,250,1475,0.8388903225806452,0.012390322580645161,0.9965161290322581,751.5796774193549,0.0,0.41900645161290323,0.0,ces
CTX194000186,2,0,0,0,1,0,0,0,,,,,,,,
CTX194003484,1,3,3,2,0,4,20,93,0.71035,0.03935,0.875,1504.9633333333331,0.16666666666666666,0.3263333333333333,0.0,ces
CTX194005789,1,5,2,0,0,4,36,184,0.7161714285714286,0.028571428571428574,0.8975000000000001,1291.2142857142858,0.0,0.38974285714285717,0.0,ces
CTX194103306,1,11,7,0,1,6,32,183,0.7802,0.024999999999999998,0.8334555555555556,3241.197777777778,0.0,0.39068888888888886,0.2777777777777778,ces
CTX194105931,1,5,10,2,3,7,50,252,0.6396266666666667,0.07462666666666666,0.7953933333333333,3723.5153333333337,0.2,0.43432666666666664,0.3333333333333333,ces
CTX194203019,29,0,0,0,2,5,0,0,,,,,,,,
CTX194500028,2,6,5,0,0,1,54,324,0.7418272727272727,0.05049090909090909,0.9040727272727271,367.7509090909091,0.0,0.34463636363636363,0.0,ces
CTX194501820,1,11,3,2,2,9,34,228,0.8489285714285714,0.0,0.8885714285714286,1775.2728571428572,0.0,0.4390928571428572,0.21428571428571427,ces
CTX194502994B,4,2,2,1,0,3,8,68,0.7948500000000001,0.025,0.830525,1484.355,0.0,0.381675,0.0,ces
CTX194600743,9,2,9,13,26,16,24,137,0.5942363636363637,0.045454545454545456,0.8516909090909092,6091.869090909091,0.09090909090909091,0.17798181818181819,0.0,ces
CTX194603396,4,1,1,1,0,2,14,74,0.7631,0.0,0.9889,1376.64,0.0,0.47855000000000003,0.0,ces
CTX194604127,68,37,0,0,0,0,305,2059,0.8876459459459459,0.028754054054054057,0.9484351351351352,457.0048648648649,0.0,0.3808864864864865,0.0,ces
CTX194604308,21,40,0,0,0,0,302,2402,0.884355,0.01353,0.974445,926.74975,0.025,0.373955,0.0,ces
CTX194604906,1,13,5,3,1,15,38,236,0.8139277777777778,0.00185,0.8761222222222222,2987.3661111111114,0.0,0.4205055555555555,0.2777777777777778,ces
CTX194606143,1,16,9,2,2,16,61,343,0.788408,0.016668,0.88606,2225.4144,0.0,0.381324,0.24,ces
CTX194701034,1,6,6,2,4,11,32,172,0.75785,0.0375,0.8724250000000001,1660.0458333333333,0.0,0.41667499999999996,0.3333333333333333,ces
CTX194707047,1,13,3,1,3,0,113,820,0.82998125,0.0185125,0.97329375,986.605625,0.0625,0.38578125,0.0,ces
