file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX192700799,3,12,4,14,2,0,211,1293,0.7638230769230769,0.011419230769230768,0.9609846153846153,1131.8661538461538,0.038461538461538464,0.4265884615384615,0.4962884615384615,0.0,ces
CTX193100253,45,7,0,6,0,0,120,808,0.7846230769230769,0.009000000000000001,0.9929076923076923,507.2323076923077,0.07692307692307693,0.39776153846153844,0.4685153846153846,0.0,ces
CTX193202278,10,29,53,21,95,0,174,1075,0.7590720000000001,0.020898,0.930878,8100.2924,0.0,0.406822,0.45157600000000003,0.0,ces
CTX193401762,8,0,1,21,4,4,169,835,0.5358619047619048,0.1394,0.7612095238095238,1766.857142857143,1.7619047619047619,0.4761666666666666,0.5219047619047619,0.0,ces
CTX193600857,32,16,1,23,1,1,369,2141,0.7295384615384615,0.018682051282051283,0.8719769230769231,604.1892307692308,0.07692307692307693,0.3787179487179487,0.4835051282051282,0.0,ces
CTX193702477,81,0,1,3,1,5,6,21,0.5253333333333333,0.13749999999999998,0.8333333333333334,4343.056666666666,0.0,0.5,0.43333333333333335,0.0,ces
CTX193801636,108,11,1,18,0,1,210,1405,0.7486137931034482,0.011241379310344827,0.9984310344827586,622.846551724138,0.0,0.4015137931034483,0.48764137931034485,0.0,ces
CTX194000026,1,0,0,0,1,0,0,0,,,,,,,,,None
CTX194003457,1,0,0,0,0,1,0,0,,,,,,,,,None
CTX194005766,4,3,2,9,0,1,96,674,0.7334499999999999,0.004108333333333334,0.9678166666666667,5432.965,0.08333333333333333,0.39784166666666665,0.5479916666666667,0.0,ces
CTX194103269,1,2,3,6,3,2,31,174,0.6351625,0.0412125,0.8125,4616.71125,0.625,0.3968,0.40742500000000004,0.125,ces
CTX194105865,1,7,13,5,3,2,21,107,0.7519916666666666,0.0,0.8713166666666666,3412.013333333333,0.0,0.48525,0.4978916666666666,0.4166666666666667,ces
CTX194202078,1,13,16,6,3,0,42,238,0.7860736842105263,0.003289473684210526,0.8714999999999999,2812.7552631578947,0.0,0.42100526315789477,0.47261578947368416,0.2631578947368421,ces
CTX194301371,1,9,10,10,0,0,35,209,0.7368421052631579,0.009647368421052632,0.8384263157894737,2636.0621052631577,0.0,0.3816631578947368,0.4849210526315789,0.21052631578947367,ces
CTX194500607,4,6,11,3,17,0,35,257,0.7973111111111111,0.0,0.9312111111111112,869.6377777777777,0.2222222222222222,0.39693333333333336,0.5908555555555556,0.0,ces
CTX194502247,1,13,13,14,1,0,63,409,0.7592,0.005025925925925927,0.9145148148148148,2742.1292592592595,0.037037037037037035,0.38802962962962967,0.5072185185185185,0.1111111111111111,ces
CTX194600079,1,16,14,14,3,2,94,590,0.7619900000000001,0.006196666666666667,0.92057,1700.8233333333333,0.0,0.39727666666666667,0.52514,0.16666666666666666,ces
CTX194601392,1,16,15,11,3,1,101,620,0.7680074074074074,0.006877777777777778,0.8962518518518517,1976.0985185185186,0.0,0.39245185185185183,0.4932888888888889,0.1111111111111111,ces
CTX194603858,5,44,0,8,0,0,489,3262,0.8316615384615385,0.0071211538461538465,0.9349711538461538,1281.673653846154,0.038461538461538464,0.3774576923076923,0.5279519230769231,0.0,ces
