file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
MTX194600222,1,7,4,6,0,2,70,412,0.7306692307692307,0.003653846153846154,0.9120846153846153,765.5353846153846,0.23076923076923078,0.3588307692307692,0.07692307692307693,ces
MTX194601130,1,4,1,5,0,1,34,197,0.7030777777777778,0.002777777777777778,0.8878777777777778,997.7044444444444,0.1111111111111111,0.3828111111111111,0.2222222222222222,ces
MTX194602129,1,8,4,4,0,0,48,326,0.7443166666666666,0.013541666666666667,0.8458583333333333,1710.9091666666666,0.0,0.41785,0.16666666666666666,ces
MTX194602989,1,9,4,4,0,0,39,325,0.7622692307692307,0.0041,0.9024,1531.5223076923078,0.0,0.3651,0.15384615384615385,ces
MTX194700758,1,4,4,2,0,5,20,109,0.7231333333333333,0.0,0.8342666666666667,405.0433333333333,0.0,0.23951666666666668,0.0,ces
MTX194701566,2,11,4,6,1,0,81,464,0.7208352941176471,0.0029411764705882353,0.9258117647058823,845.1082352941177,0.11764705882352941,0.35591176470588237,0.058823529411764705,ces
MTX194800148,6,29,9,19,3,4,230,1437,0.7379208333333334,0.00993125,0.91113125,1112.7972916666665,0.0625,0.34565625,0.08333333333333333,ces
MTX194800905,1,9,10,10,0,1,51,261,0.7251631578947368,0.007784210526315789,0.905357894736842,1152.2452631578947,0.0,0.3515263157894737,0.2631578947368421,ces
MTX194900101,17,1,0,2,0,0,17,95,0.6934,0.0,0.8320666666666666,1667.97,0.0,0.3995666666666667,0.0,ces
MTX195000618,2,11,2,6,3,2,122,799,0.7478,0.02305294117647059,0.8864352941176471,1673.630588235294,0.11764705882352941,0.3442588235294118,0.0,ces
MTX195001097,12,36,0,3,2,1,322,2007,0.8173102564102565,0.009107692307692308,0.9834333333333334,477.4823076923077,0.02564102564102564,0.4028538461538461,0.0,ces
MTX195001538,1,6,10,3,5,1,23,125,0.7241777777777778,0.008888888888888889,0.9447666666666668,1391.3677777777777,0.2222222222222222,0.43883333333333335,0.2222222222222222,ces
MTX195100592,119,24,0,4,1,3,204,1248,0.785517857142857,0.025814285714285713,0.933282142857143,918.4799999999999,0.21428571428571427,0.4152142857142857,0.0,ces
MTX195100970,15,1,2,4,0,0,15,51,0.52188,0.04,0.89944,3894.1039999999994,0.4,0.35,0.0,ces
MTX195200719,14,23,2,11,1,0,212,1286,0.7549970588235294,0.011188235294117646,0.930564705882353,708.1985294117648,0.0,0.3816,0.0,ces
MTX195300370,5,2,35,32,66,21,86,381,0.5011970588235295,0.008617647058823528,0.8078382352941177,16605.99205882353,0.029411764705882353,0.1463970588235294,0.0,ces
MTX195400946,1,6,6,2,0,1,24,165,0.787275,0.0,0.957625,869.80625,0.0,0.399525,0.125,ces
MTX195401664,375,0,0,0,1,0,0,0,,,,,,,,
MTX195500957,1,32,3,7,0,1,275,1829,0.8091692307692308,0.007984615384615385,0.9691358974358975,757.7871794871795,0.02564102564102564,0.3908307692307692,0.02564102564102564,ces
MTX195601567,1,5,3,0,0,1,20,143,0.80482,0.006660000000000001,0.9647,719.112,0.0,0.4204800000000001,0.0,ces
MTX195701474,1,24,6,10,0,4,196,1274,0.7821676470588235,0.01188529411764706,0.9079470588235294,4587.465294117647,0.029411764705882353,0.38136176470588234,0.0,ces
MTX195800952,1,3,3,1,0,2,13,81,0.7409250000000001,0.0,0.84475,1535.1625,0.0,0.419475,0.0,ces
MTX195900552,1,8,3,1,0,2,74,495,0.8207555555555556,0.018655555555555554,0.9694,529.9733333333334,0.0,0.40675555555555554,0.0,ces
MTX195901887,1,4,3,2,0,3,27,154,0.7582666666666666,0.026850000000000002,0.91985,830.9899999999999,0.16666666666666666,0.40673333333333334,0.0,ces
MTX195903213,1,7,8,4,2,1,37,225,0.7199727272727272,0.009090909090909092,0.8897363636363637,1315.2236363636364,0.09090909090909091,0.35493636363636366,0.09090909090909091,ces
MTX195904377,4,21,1,5,3,1,241,1452,0.8291269230769232,0.003938461538461538,0.9966269230769231,349.3176923076923,0.0,0.38346538461538465,0.0,ces
MTX196000852,1,4,3,1,1,2,29,162,0.7484,0.0,0.8780000000000001,933.1600000000001,0.0,0.37852,0.0,ces
MTX196001968,1,6,2,0,0,1,28,182,0.8058666666666667,0.0,0.8652333333333333,772.0,0.0,0.44221666666666665,0.0,ces
MTX196003424,1,5,2,2,0,1,43,261,0.7430857142857142,0.004757142857142857,0.8647285714285714,2716.6257142857144,0.0,0.4256857142857143,0.0,ces
MTX196100680,1,5,6,5,0,0,29,188,0.73467,0.00143,0.9138299999999999,4050.7600000000007,0.0,0.35839,0.2,ces
MTX196101432,192,0,2,2,0,1,7,40,0.64475,0.0,0.84405,2367.7200000000003,0.0,0.38095,0.0,ces
MTX196200113,3,21,1,5,0,2,183,1118,0.7994384615384615,0.004423076923076924,0.9598307692307693,939.9599999999999,0.11538461538461539,0.4070423076923077,0.0,ces
MTX196202246,32,29,0,9,4,9,287,1725,0.779871052631579,0.024823684210526317,0.9168447368421052,1103.7405263157896,0.18421052631578946,0.42697894736842107,0.0,ces
MTX196202301,3,26,1,2,0,1,276,1684,0.8188071428571428,0.007882142857142857,0.9992142857142857,697.4367857142857,0.0,0.41224642857142857,0.0,ces
MTX196302383,6,3,4,2,3,1,13,102,0.74114,0.0,0.96654,4527.0160000000005,0.0,0.5384399999999999,0.2,ces
MTX196402233,85,0,0,1,0,0,3,21,0.6115,0.0,0.8888,2689.41,0.0,0.4667,0.0,ces
MTX196402692a,59,2,1,2,0,0,15,93,0.6814,0.0,0.9297500000000001,3429.3725,0.0,0.3006,0.0,ces
MTX196501296,33,33,0,19,0,1,297,1868,0.7257615384615386,0.04791538461538462,0.9678538461538462,1041.9196153846153,0.057692307692307696,0.38304807692307696,0.0,ces
MTX196600015,88,0,0,0,0,1,0,0,,,,,,,,
MTX196600348,7,22,2,4,1,0,216,1228,0.7953769230769231,0.0036307692307692313,0.9892923076923077,524.2015384615385,0.07692307692307693,0.4145923076923077,0.0,ces
MTX196601637,187,0,5,0,0,8,0,0,,,,,,,,
MTX196700481,20,31,3,1,0,1,242,1539,0.80685,0.00405,0.95795625,553.4496875,0.0,0.393465625,0.0,ces
MTX196701763,6,40,1,5,2,0,315,1989,0.8066666666666666,0.0,0.9611955555555555,4610.588444444444,0.022222222222222223,0.38166222222222224,0.0,ces
MTX196800968,5,1,1,1,0,0,6,29,0.55435,0.0,0.99065,21767.989999999998,0.0,0.66665,1.0,ces
