file,page_num,Clear,Empty,Noisy,Trash,Non-text,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
MTX194600222,1,5,4,8,2,0,70,412,0.696623076923077,0.003653846153846154,0.9120846153846153,619.5092307692307,0.23076923076923078,0.3588307692307692,0.07692307692307693,ces
MTX194601130,1,3,1,5,2,0,32,188,0.682125,0.003125,0.9013625,1566.625,0.125,0.39495,0.25,ces
MTX194602129,1,5,4,7,0,0,48,326,0.7245750000000001,0.013541666666666667,0.8458583333333333,3079.5,0.0,0.41785,0.16666666666666666,ces
MTX194602989,1,7,4,6,0,0,39,325,0.7551,0.0041,0.9024,607.5,0.0,0.3651,0.15384615384615385,ces
MTX194700758,1,2,4,5,4,0,21,115,0.6251428571428571,0.0,0.8222285714285714,1638.3714285714286,0.0,0.2053,0.0,ces
MTX194701553,2,11,1,4,1,2,79,535,0.76954,0.014839999999999999,0.9151133333333334,264.9166666666667,0.2,0.41138,0.0,ces
MTX194800123,5,7,0,10,2,1,118,648,0.6928411764705882,0.015288235294117648,0.961735294117647,167.98529411764707,0.058823529411764705,0.32236470588235294,0.0,ces
MTX194800839,1,23,10,16,0,2,154,957,0.7435769230769231,0.015171794871794871,0.9283358974358975,1994.7179487179487,0.15384615384615385,0.39062564102564107,0.1282051282051282,ces
MTX194900081,16,28,0,8,0,2,300,1905,0.7844,0.02787777777777778,0.9627166666666667,419.6511111111111,0.08333333333333333,0.38443611111111115,0.0,ces
MTX195000579,10,6,5,7,0,5,143,733,0.6651307692307692,0.009838461538461539,0.9577307692307693,5078.307692307692,0.38461538461538464,0.3966692307692308,0.0,ces
MTX195001022,3,1,0,1,0,0,4,25,0.571,0.025,0.76545,221444.0,0.0,0.4722,0.0,ces
MTX195001467,2,13,12,9,1,2,65,403,0.7466272727272727,0.01985909090909091,0.8969227272727273,1040.2386363636363,0.045454545454545456,0.37388636363636363,0.22727272727272727,ces
MTX195100569,2,5,6,5,4,0,44,295,0.70527,0.02445,0.88323,545.563,0.0,0.38817,0.3,ces
MTX195100878,42,37,1,2,1,0,325,2053,0.8065205128205128,0.006551282051282052,0.9837282051282051,579.7628205128206,0.05128205128205128,0.4110615384615385,0.0,ces
MTX195200247,43,8,19,81,47,3,118,454,0.5949550561797753,0.0009359550561797753,0.8032696629213483,3511.01808988764,0.0,0.09368876404494382,0.011235955056179775,ces
MTX195203035,2,27,4,8,2,0,148,981,0.8028228571428572,0.002142857142857143,0.93642,411.7345714285714,0.0,0.40721142857142856,0.14285714285714285,ces
MTX195400366e,13,2,1,1,0,0,5,33,0.7918666666666666,0.05833333333333333,0.9133,37.23,0.0,0.2967,0.0,ces
MTX195401664,180,34,4,3,0,0,318,1923,0.8357756756756757,0.009054054054054055,0.9686054054054054,133.24486486486484,0.0,0.39813243243243246,0.0,ces
MTX195500739,47,0,2,2,1,0,2,5,0.5645500000000001,0.0,0.85895,23.060000000000002,0.0,0.0,0.0,ces
MTX195600086,23,0,4,6,2,0,29,166,0.5844666666666667,0.03805,0.7510666666666667,1596.0,0.3333333333333333,0.3449166666666667,0.16666666666666666,ces
