file,page_num,num_lines,Clear,Noisy,Trash,Non-text,Empty,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
MTX194600222,1,19,5,9,0,1,4,72,424,0.7845214285714286,0.006514285714285715,0.9005071428571428,616.0357142857143,0.21428571428571427,0.3974857142857143,0.45276428571428573,0.07142857142857142,ces
MTX194601130,1,11,3,6,0,1,1,34,197,0.7857888888888889,0.0064777777777777785,0.8878777777777778,1499.0555555555557,0.1111111111111111,0.3828111111111111,0.5268555555555555,0.2222222222222222,ces
MTX194602129,1,16,4,8,0,0,4,48,326,0.8119083333333333,0.013541666666666667,0.8458583333333333,536.5516666666666,0.0,0.41785,0.5103083333333333,0.16666666666666666,ces
MTX194602989,1,17,5,7,0,1,4,37,315,0.8577,0.014166666666666666,0.9150999999999999,367.9475,0.0,0.37469166666666665,0.4734416666666667,0.16666666666666666,ces
MTX194700758,1,15,1,4,4,2,4,25,125,0.81884,0.03142,0.8511200000000001,559.6,0.0,0.37076000000000003,0.46276,0.0,ces
MTX194701553,2,19,14,1,0,3,1,79,535,0.8947,0.014839999999999999,0.9151133333333334,267.6166666666667,0.2,0.41138,0.5424533333333332,0.0,ces
MTX194800123,5,20,15,4,0,1,0,122,681,0.8398526315789474,0.018210526315789472,0.9394473684210526,154.05947368421053,0.05263157894736842,0.2884315789473684,0.5749421052631579,0.0,ces
MTX194800839,1,51,19,15,4,3,10,135,863,0.8480029411764706,0.01490294117647059,0.9341117647058823,315.05882352941177,0.14705882352941177,0.39635294117647063,0.49482058823529407,0.14705882352941177,ces
MTX194900081,16,38,26,9,0,3,0,299,1902,0.8809742857142857,0.029194285714285714,0.9687942857142857,225.13571428571427,0.08571428571428572,0.39542,0.5090314285714286,0.0,ces
MTX195000579,10,23,0,13,0,5,5,143,733,0.7528076923076923,0.012530769230769232,0.9577307692307693,5044.615384615385,0.38461538461538464,0.3966692307692308,0.5442,0.0,ces
MTX195001022,3,2,0,2,0,0,0,4,25,0.6354,0.025,0.76545,693.0,0.0,0.4722,0.2222,0.0,ces
MTX195001467,2,37,9,12,2,2,12,49,330,0.8402000000000001,0.0027095238095238097,0.9039190476190475,387.5833333333333,0.047619047619047616,0.3678809523809524,0.4240095238095238,0.23809523809523808,ces
MTX195100569,2,20,5,5,3,1,6,45,298,0.83721,0.02445,0.88323,370.163,0.0,0.43817000000000006,0.5469,0.2,ces
MTX195100878,42,41,33,6,1,0,1,325,2053,0.8888692307692307,0.01101025641025641,0.9837282051282051,601.4679487179487,0.07692307692307693,0.4110615384615385,0.534351282051282,0.0,ces
MTX195200247,43,158,7,14,0,118,19,52,216,0.8317809523809524,0.008095238095238096,0.9386142857142856,499.20238095238096,0.0,0.3684904761904762,0.48157619047619055,0.0,ces
MTX195203035,2,41,22,13,0,2,4,155,997,0.8768428571428571,0.009285714285714286,0.94764,326.80685714285715,0.0,0.4190428571428571,0.4976285714285715,0.11428571428571428,ces
MTX195400366e,13,4,2,0,0,1,1,4,29,0.9536,0.0,0.99495,53.5,0.0,0.44505,0.5164500000000001,0.0,ces
MTX195401664,180,41,32,4,0,1,4,317,1920,0.9068611111111111,0.009305555555555556,0.9746777777777778,135.66500000000002,0.0,0.4091916666666667,0.504,0.0,ces
MTX195500739,47,5,0,0,0,3,2,0,0,,,,,,,,,
MTX195600086,23,12,1,6,0,1,4,34,196,0.657,0.06404285714285714,0.7509142857142858,1468.0714285714287,0.2857142857142857,0.32925714285714286,0.42701428571428574,0.14285714285714285,ces
MTX195701084,17,31,22,6,0,3,0,189,1349,0.8912714285714286,0.022260714285714283,0.9742535714285714,1583.0357142857142,0.03571428571428571,0.43279999999999996,0.5250571428571429,0.0,ces
MTX195800591,1,11,6,2,0,0,3,37,227,0.8529875,0.021875,0.936225,224.25,0.0,0.354575,0.3980875,0.0,ces
MTX195900318,2,9,4,5,0,0,0,44,211,0.8204444444444445,0.013577777777777779,0.8790333333333333,353.19444444444446,0.0,0.40155555555555555,0.4981,0.0,ces
MTX195901493,31,4,1,1,0,1,1,39,120,0.8079000000000001,0.15145,0.8716999999999999,332.06,0.0,0.42435,0.27765,0.0,ces
MTX195903041,115,32,20,10,1,0,1,145,1057,0.8685266666666667,0.015763333333333334,0.95383,292.39166666666665,0.1,0.38833666666666666,0.54039,0.0,ces
MTX195904331,64,1,0,1,0,0,0,2,12,0.7518,0.0,0.75,304.0,0.0,0.3333,0.8333,0.0,ces
MTX196000680,2,75,21,37,3,0,14,232,1812,0.8024517241379311,0.02555,0.927901724137931,1345.603448275862,0.1724137931034483,0.38198103448275866,0.45238965517241375,0.0,ces
MTX196001619,1,14,5,5,0,1,3,36,226,0.79791,0.04167,0.8712799999999999,476.225,0.2,0.37429,0.43213,0.1,ces
MTX196003260,1,7,1,5,0,0,1,21,126,0.7696999999999999,0.00555,0.8811,418.25,0.16666666666666666,0.34536666666666666,0.40536666666666665,0.0,ces
MTX196100298,3,31,22,2,0,4,3,177,1110,0.9061708333333334,0.012408333333333334,0.9566500000000001,120.63541666666667,0.0,0.37822500000000003,0.5081833333333333,0.0,ces
MTX196101432,25,56,16,19,0,19,2,170,983,0.7991942857142857,0.002857142857142857,0.8754314285714285,457.67857142857144,0.05714285714285714,0.34234857142857145,0.4962457142857143,0.0,ces
MTX196200013,7,31,20,7,0,0,4,226,1285,0.8632370370370371,0.04471851851851852,0.9405962962962963,191.13407407407408,0.07407407407407407,0.3773740740740741,0.49397037037037034,0.0,ces
MTX196201901,1,18,6,5,1,1,5,41,282,0.8309363636363636,0.004545454545454546,0.8446181818181819,1318.4318181818182,0.0,0.37639090909090905,0.4259363636363636,0.0,ces
MTX196202246b,64,7,0,2,2,0,3,8,38,0.62815,0.10625,0.7737499999999999,1364.5,0.5,0.5119,0.5119,0.0,ces
MTX196301035,7,33,28,3,0,1,1,310,1958,0.9143677419354839,0.0017000000000000001,0.9981161290322581,200.85032258064516,0.03225806451612903,0.41400967741935485,0.4984096774193548,0.0,ces
