file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX192700799,3,21,4,6,1,0,225,1310,0.7827814814814815,0.0139,0.9531777777777778,846.4814814814815,0.037037037037037035,0.4107888888888889,0.0,ces
CTX193100253,45,12,0,1,0,0,136,824,0.8037153846153846,0.010723076923076922,0.9919,414.11538461538464,0.07692307692307693,0.39776153846153844,0.0,ces
CTX193202278,10,26,53,59,39,21,223,1231,0.6664517647058824,0.011464705882352941,0.8598882352941177,99394.50117647059,0.0,0.23460117647058823,0.0,ces
CTX193401762,8,0,1,14,4,11,134,578,0.5196857142857143,0.07618571428571429,0.7668142857142858,1243.0714285714287,1.5714285714285714,0.5033285714285715,0.0,ces
CTX193600857,32,30,1,10,1,0,388,2190,0.7392525,0.02004,0.8686299999999999,267.69375,0.075,0.3734175,0.0,ces
CTX193702477,81,0,1,1,1,7,4,9,0.4829,0.0625,1.0,568.0,0.0,0.6,0.0,ces
CTX193801636,108,26,1,3,0,1,228,1423,0.8111724137931035,0.011393103448275863,0.9984551724137931,262.4913793103448,0.0,0.4015137931034483,0.0,ces
CTX194000026,1,0,0,0,1,0,0,0,,,,,,,,None
CTX194003457,1,0,0,0,0,1,0,0,,,,,,,,None
CTX194005766,4,11,2,1,0,1,108,686,0.8130666666666667,0.003941666666666667,0.9721000000000001,6591.770833333333,0.08333333333333333,0.39784166666666665,0.0,ces
CTX194103269,1,2,3,4,2,5,25,145,0.6472,0.04161666666666666,0.8333333333333334,2062.9583333333335,0.5,0.3505,0.16666666666666666,ces
CTX194105865,1,6,13,7,2,2,22,112,0.7220384615384615,0.0,0.8684153846153847,7845.423076923077,0.0,0.447923076923077,0.38461538461538464,ces
CTX194202078,1,9,16,10,1,2,42,238,0.744621052631579,0.003289473684210526,0.8714999999999999,6538.118421052632,0.0,0.42100526315789477,0.2631578947368421,ces
CTX194301371,1,9,10,9,0,1,35,202,0.7488388888888889,0.00938888888888889,0.8433388888888889,5912.222222222223,0.0,0.40286666666666665,0.2222222222222222,ces
CTX194500607,4,4,11,5,17,0,35,257,0.7443444444444444,0.0,0.9312111111111112,1154.0688888888888,0.2222222222222222,0.39693333333333336,0.0,ces
CTX194502247,1,11,13,15,1,1,68,401,0.7355730769230769,0.005219230769230769,0.9198923076923078,33985.682692307695,0.038461538461538464,0.40295384615384616,0.11538461538461539,ces
CTX194600079,1,22,14,11,2,0,105,620,0.7543575757575757,0.005633333333333334,0.9131363636363636,2195.3199999999997,0.0,0.3728151515151515,0.18181818181818182,ces
CTX194601392,1,17,15,10,1,3,106,627,0.7718185185185185,0.006877777777777778,0.888437037037037,3766.324074074074,0.0,0.38782222222222223,0.07407407407407407,ces
CTX194603858,5,38,0,14,0,0,489,3262,0.7379269230769231,0.008853846153846155,0.9349711538461538,2036.4615384615386,0.038461538461538464,0.3774576923076923,0.0,ces
CTX194604284,4,20,45,64,14,9,229,1409,0.6753,0.028163095238095237,0.8308749999999999,53708.99178571428,0.011904761904761904,0.291947619047619,0.0,ces
CTX194604320B,47,0,4,5,0,3,12,79,0.65184,0.06334,0.8003,1973.0,0.0,0.37154,0.0,ces
CTX194605560,4,22,8,10,1,1,205,1220,0.76386875,0.018146875,0.898178125,1255.8790625,0.0,0.388503125,0.0625,ces
CTX194606617,1,10,15,10,2,2,39,212,0.7344299999999999,0.0025,0.886055,4820.525,0.0,0.36356,0.2,ces
CTX194704664,1,3,6,22,8,6,97,492,0.577648,0.040772,0.84116,22038.3752,0.32,0.412256,0.0,ces
CTX194707457,7,5,1,1,0,0,31,224,0.77065,0.0023833333333333332,0.82925,660.2916666666666,0.0,0.3888666666666667,0.0,ces
