file,page_num,Clear,Empty,Noisy,Trash,Non-text,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
MTX194600222,1,9,4,4,1,1,69,416,0.7644846153846154,0.003653846153846154,0.9205384615384615,751.9230769230769,0.23076923076923078,0.39729230769230767,0.4414384615384615,0.07692307692307693,ces
MTX194601130,1,5,1,1,3,1,25,142,0.7665666666666667,0.00555,0.9159666666666667,1559.5,0.16666666666666666,0.3969833333333333,0.4786333333333333,0.3333333333333333,ces
MTX194602129,1,9,4,0,3,0,39,279,0.8440555555555556,0.0,0.8711666666666668,495.72222222222223,0.0,0.41910000000000003,0.44471111111111106,0.1111111111111111,ces
MTX194602989,1,9,4,3,0,1,37,315,0.795525,0.004441666666666667,0.9150999999999999,366.0416666666667,0.0,0.37469166666666665,0.4734416666666667,0.16666666666666666,ces
MTX194700758,1,3,4,2,4,2,21,109,0.69414,0.05142,0.8713000000000001,1335.6,0.4,0.42076,0.45275999999999994,0.0,ces
MTX194701553,2,13,1,1,1,3,65,495,0.8101857142857144,0.012921428571428572,0.9195571428571429,285.9107142857143,0.21428571428571427,0.4074285714285714,0.5335785714285713,0.0,ces
MTX194800123,5,16,0,2,1,1,103,658,0.7430111111111111,0.01355,0.9496222222222221,179.40944444444443,0.05555555555555555,0.30445555555555553,0.5513277777777777,0.0,ces
MTX194800839,1,24,10,8,6,3,108,799,0.806075,0.018540625,0.944584375,326.0859375,0.15625,0.398309375,0.489040625,0.15625,ces
MTX194900081,16,31,0,4,0,3,285,1888,0.8350914285714286,0.03139714285714286,0.9685,250.36428571428573,0.08571428571428572,0.39542,0.5090314285714286,0.0,ces
MTX195000579,10,7,5,4,2,5,121,657,0.7206727272727274,0.006590909090909092,0.9723818181818181,2772.5454545454545,0.2727272727272727,0.39575454545454547,0.5366909090909091,0.0,ces
MTX195001022,3,1,0,1,0,0,4,25,0.63645,0.025,0.76545,685.0,0.0,0.4722,0.2222,0.0,ces
MTX195001467,2,13,12,8,2,2,47,328,0.7811047619047619,0.0029095238095238098,0.9039380952380953,390.70238095238096,0.047619047619047616,0.3678809523809524,0.4240095238095238,0.23809523809523808,ces
MTX195100569,2,5,6,3,5,1,36,254,0.7587875000000001,0.0305625,0.910575,374.6725,0.0,0.4284,0.5316375,0.125,ces
MTX195100878,42,32,1,7,1,0,301,2029,0.8151589743589743,0.010361538461538462,0.9838025641025641,640.9102564102565,0.07692307692307693,0.4110615384615385,0.534351282051282,0.0,ces
MTX195200247,43,15,19,5,1,118,48,201,0.769255,0.0085,0.9480449999999999,488.975,0.0,0.365485,0.46993999999999997,0.0,ces
MTX195203035,2,26,4,8,1,2,147,966,0.8300911764705882,0.009558823529411765,0.9534529411764706,312.645,0.0,0.4193352941176471,0.4935470588235294,0.11764705882352941,ces
MTX195400366e,13,2,1,0,0,1,4,29,0.9539,0.0,0.99495,51.375,0.0,0.44505,0.5164500000000001,0.0,ces
MTX195401664,180,34,4,1,1,1,291,1882,0.8801685714285714,0.009334285714285713,0.9775057142857142,137.85542857142855,0.0,0.4065971428571429,0.49935142857142856,0.0,ces
MTX195500739,47,0,2,0,0,3,0,0,,,,,,,,,
MTX195600086,23,2,4,3,2,1,25,131,0.6622,0.048,0.75,1099.2,0.2,0.30696,0.35581999999999997,0.2,ces
MTX195701084,17,24,0,3,1,3,168,1323,0.863,0.014044444444444446,0.9822222222222222,1470.851851851852,0.037037037037037035,0.43401481481481485,0.514874074074074,0.0,ces
MTX195800591,1,6,3,2,0,0,33,223,0.7857375,0.021875,0.9469875,310.78125,0.0,0.354575,0.3980875,0.0,ces
MTX195900318,2,7,0,1,1,0,35,170,0.779025,0.015275,0.8951625,336.53125,0.0,0.40175,0.4753625,0.0,ces
MTX195901493,31,1,1,1,0,1,37,118,0.6968,0.16144999999999998,0.8678,376.06,0.0,0.42435,0.27765,0.0,ces
MTX195903041,115,23,1,4,4,0,113,1004,0.8433444444444445,0.009570370370370371,0.9750666666666666,253.02777777777777,0.1111111111111111,0.39621481481481485,0.5298851851851852,0.0,ces
MTX195904331,64,0,0,0,1,0,0,0,,,,,,,,,
MTX196000680,2,46,14,11,4,0,227,1785,0.7681035087719298,0.02531578947368421,0.9299456140350878,1341.7215789473685,0.17543859649122806,0.38166491228070176,0.4498,0.0,ces
MTX196001619,1,7,3,2,1,1,30,208,0.8072555555555555,0.0463,0.8847555555555555,340.3333333333333,0.2222222222222222,0.3788444444444445,0.3937222222222222,0.1111111111111111,ces
MTX196003260,1,4,1,1,1,0,17,104,0.77642,0.006660000000000001,0.90732,307.8,0.0,0.30778,0.33978,0.0,ces
MTX196100298,3,23,3,1,0,4,153,1086,0.870675,0.010791666666666666,0.9559333333333333,168.66666666666666,0.0,0.37822500000000003,0.5081833333333333,0.0,ces
MTX196101432,25,21,2,9,5,19,138,840,0.75695,0.0033333333333333335,0.8878166666666666,364.14166666666665,0.06666666666666667,0.32444,0.4744,0.0,ces
MTX196200013,7,22,4,5,0,0,212,1271,0.8124592592592592,0.04471851851851852,0.9333037037037037,212.30074074074074,0.07407407407407407,0.3773740740740741,0.49397037037037034,0.0,ces
MTX196201901,1,8,5,1,3,1,28,251,0.8588222222222223,0.005555555555555556,0.8555666666666667,1230.5555555555557,0.0,0.3767,0.3678111111111111,0.0,ces
MTX196202246b,64,0,3,2,2,0,8,38,0.62815,0.10625,0.7737499999999999,1284.5,0.5,0.5119,0.5119,0.0,ces
MTX196301035,7,31,1,0,0,1,274,1922,0.911441935483871,0.0017548387096774196,0.9980483870967741,259.2696774193548,0.03225806451612903,0.41400967741935485,0.4984096774193548,0.0,ces
MTX196402185,10,34,5,0,0,1,198,1384,0.8560323529411765,0.02882352941176471,0.9780147058823528,168.86382352941177,0.058823529411764705,0.38371764705882355,0.5021176470588236,0.0,ces
MTX196402692,64,28,1,2,0,0,173,1333,0.8607899999999999,0.017016666666666666,0.98807,325.48333333333335,0.0,0.4097766666666667,0.49965666666666664,0.0,ces
MTX196501096,21,0,1,0,0,2,0,0,,,,,,,,,
MTX196600014a,106,4,2,0,0,0,11,58,0.82275,0.015625,0.8749,166.8125,0.0,0.42305,0.41005,0.0,ces
MTX196600324,104,31,11,7,0,15,244,1792,0.8451447368421052,0.01436842105263158,0.9783105263157895,233.05578947368423,0.23684210526315788,0.3758105263157895,0.517242105263158,0.0,ces
MTX196601637,15,40,0,6,1,2,309,2091,0.8338739130434781,0.016106521739130436,0.9498108695652173,144.65782608695653,0.43478260869565216,0.35020652173913047,0.55905,0.0,ces
