file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX195201375,40,21,0,2,0,3,177,1038,7.6957,45.1304,0.0125,0.9615,708.3126,0.1304,0.0,0.0,0.0,0.0435,0.0114,0.7611,ces_Latn
CTX195202268,24,0,0,1,0,1,1,4,1.0,4.0,0.0,0.9998,1208.49,0.0,0.0,0.0,1.0,0.0,0.15,0.8557,eng_Latn
CTX195205000,1,10,2,4,0,0,26,142,1.625,8.875,0.0315,0.8084,1813.0744,0.1875,0.0,0.0,0.0,0.0625,0.05,0.7155,ces_Latn
CTX195205377,2,10,0,0,0,0,77,521,7.7,52.1,0.0016,0.988,694.715,0.0,0.1,0.0,0.0,0.1,0.001,0.8742,deu_Latn
CTX195300334,53,14,3,5,0,6,59,426,2.6818,19.3636,0.0557,0.7769,2941.1177,0.0909,0.0,0.0,0.0,0.0909,0.0273,0.7344,deu_Latn
CTX195300660,2,12,4,5,0,3,87,568,4.1429,27.0476,0.0297,0.7885,2118.4295,0.2381,0.0,0.0,0.0,0.0952,0.0312,0.7052,deu_Latn
CTX195302382A,34,27,2,12,0,36,92,548,2.2439,13.3659,0.0326,0.7496,23552.9868,0.0732,0.0,0.0,0.0,0.0244,0.0146,0.6691,ces_Latn
CTX195304473,46,6,1,1,0,1,21,177,2.625,22.125,0.0512,0.7991,1240.325,0.125,0.0,0.0,0.0,0.0,0.0,0.8116,deu_Latn
CTX195305536,6,22,1,7,0,0,230,1686,7.6667,56.2,0.0221,0.9647,798.4147,0.3333,0.0333,0.0,0.0,0.0,0.0198,0.8102,ces_Latn
CTX195401175,1,17,1,4,0,3,73,392,3.3182,17.8182,0.0109,0.8435,2405.6082,0.0909,0.0,0.0,0.0,0.0909,0.0026,0.7442,ces_Latn
CTX195405136,1,11,1,3,0,2,32,170,2.1333,11.3333,0.0028,0.806,3494.4507,0.0,0.0,0.0,0.0,0.0,0.0,0.7696,ces_Latn
CTX195501697,2,12,0,0,0,1,138,818,11.5,68.1667,0.0036,0.9664,343.3317,0.0,0.0,0.0,0.0,0.0,0.0,0.828,ces_Latn
CTX195504645,3,7,0,2,0,1,72,518,8.0,57.5556,0.0223,0.9956,510.8433,0.2222,0.0,0.0,0.0,0.2222,0.0105,0.7962,ces_Latn
CTX195602280,2,0,0,0,0,1,0,0,,,,,,,,,,,,,unknown
CTX195700267,19,31,1,0,0,6,344,2187,10.75,68.3438,0.0122,0.9825,421.2522,0.2812,0.0,0.0,0.0,0.0625,0.0044,0.8187,ces_Latn
CTX195701918,5,37,0,1,0,0,272,1769,7.1579,46.5526,0.0046,0.9782,683.9884,0.0,0.0,0.0,0.0,0.0,0.0,0.8213,ces_Latn
CTX195704728,42,3,0,0,0,1,20,92,6.6667,30.6667,0.0547,0.9979,1055.4367,0.0,0.0,0.0,0.0,0.0,0.0,0.6678,ces_Latn
CTX195705699,27,12,1,4,0,5,100,563,5.8824,33.1176,0.0258,0.9078,7702.5776,0.1765,0.0,0.0,0.0,0.0588,0.0123,0.7372,ces_Latn
