file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX197801738,4,0,0,1,0,1,6,34,6.0,34.0,0.0294,0.2861,3179.44,0.0,0.0,0.0,0.0,0.0,0.0,0.7313,epo_Latn
CTX197802897,3,1,0,0,0,2,8,52,8.0,52.0,0.0,0.9999,309.49,0.0,0.0,0.0,0.0,0.0,0.0,0.755,ces_Latn
CTX197805680,2,12,1,1,0,1,92,632,6.5714,45.1429,0.0299,0.8775,562.5814,0.1429,0.0,0.0,0.0,0.0714,0.0095,0.7741,ces_Latn
CTX197808816A,9,1,0,1,0,4,4,14,2.0,7.0,0.0714,0.9077,1995.855,0.5,0.0,0.0,0.0,0.0,0.0,0.6724,ces_Latn
CTX197901967,5,28,0,0,0,1,237,1592,8.4643,56.8571,0.0034,0.9959,418.8993,0.0,0.0,0.0,0.0,0.0714,0.0,0.8402,ces_Latn
CTX197905818,9,0,0,1,0,1,3,25,3.0,25.0,0.12,0.8896,2194.67,0.0,0.0,0.0,0.0,1.0,0.0,0.6679,ces_Latn
CTX197907737,20,0,0,2,0,1,6,22,3.0,11.0,0.0917,0.8664,1224.225,1.0,0.0,0.0,0.0,0.0,0.15,0.557,ces_Latn
CTX198000227,7,4,5,3,0,53,24,108,2.0,9.0,0.1026,0.7666,55962.0092,0.3333,0.1667,0.0,0.0,0.0,0.0688,0.5927,ces_Latn
CTX198002083B,18,4,1,1,0,0,39,215,6.5,35.8333,0.0361,0.8703,1954.9917,0.0,0.0,0.0,0.0,0.1667,0.0,0.7081,ces_Latn
CTX198004093,12,26,0,3,0,0,238,1390,8.2069,47.931,0.035,0.9842,429.9162,0.2414,0.0,0.0345,0.0,0.0,0.0253,0.7457,ces_Latn
CTX198005273C,66,30,0,0,0,1,252,1712,8.4,57.0667,0.0017,0.9999,382.756,0.0,0.0,0.0,0.0,0.0,0.0,0.857,ces_Latn
CTX198006659,7,14,0,0,0,1,144,939,10.2857,67.0714,0.0052,0.9998,417.4314,0.2143,0.0,0.0,0.0,0.0,0.007,0.8763,ces_Latn
CTX198007085,12,27,2,0,0,1,221,1469,7.6207,50.6552,0.0085,0.9639,2144.6748,0.0,0.0,0.0,0.0,0.0,0.0,0.8158,ces_Latn
CTX198007338,3,24,0,3,0,0,213,1346,7.8889,49.8519,0.0159,0.9667,930.69,0.2963,0.0,0.0,0.0,0.0,0.0126,0.7889,ces_Latn
CTX198101528,2,15,0,2,0,2,66,481,3.8824,28.2941,0.0149,0.9285,1408.7312,0.0,0.0,0.0,0.0,0.0588,0.0,0.7947,ces_Latn
