file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
MTX201900153,49,2,1,2,0,0,37,241,0.744275,0.035,0.879375,824.3525,0.25,0.37224999999999997,0.5355,0.0,ces
MTX201900192,40,28,26,40,25,6,195,1158,0.7343999999999999,0.012719117647058823,0.880510294117647,2183.958823529412,0.0,0.40793382352941177,0.45778823529411766,0.4411764705882353,ces
MTX201900231b,73,42,12,11,12,0,356,2349,0.8129037735849056,0.0003528301886792453,0.9512415094339622,548.422641509434,0.0,0.3722679245283019,0.46509622641509435,0.0,ces
MTX201900254,66,1,0,0,0,0,12,81,0.8819,0.0,0.9999,175.88,0.0,0.3968,0.4921,0.0,ces
MTX201900329,14,2,2,1,0,0,24,173,0.7867333333333333,0.0,0.9890666666666666,316.34666666666664,0.0,0.37989999999999996,0.47669999999999996,0.0,ces
MTX201900451,63,0,1,5,0,0,36,258,0.66476,0.01068,0.9469200000000001,4668.378,0.4,0.36764,0.44762,0.0,ces
MTX201900517,21,54,8,28,1,6,590,3740,0.7881768292682927,0.011779268292682927,0.9676024390243902,830.2701219512195,0.24390243902439024,0.38915487804878046,0.4798170731707317,0.0,ces
MTX202000010,6,11,9,1,1,0,60,533,0.8491916666666667,0.010416666666666666,0.9134666666666668,601.8391666666666,0.0,0.41825833333333334,0.48995833333333333,0.0,ces
MTX202000073,16,0,15,6,177,38,6,42,0.5339666666666666,0.0,0.8433,666.88,0.0,0.3333,0.6667,0.0,ces
MTX202000095,19,30,21,12,1,1,299,1670,0.7693761904761904,0.02179285714285714,0.9217119047619048,767.7630952380953,0.9761904761904762,0.40719285714285713,0.5078357142857143,0.0,ces
MTX202000117,113,0,1,1,0,1,1,5,0.5033,0.0,0.75,926.24,0.0,0.3333,0.6667,0.0,ces
MTX202000151,31,1,1,1,0,0,9,45,0.7077500000000001,0.0625,0.99015,579.605,0.0,0.3782,0.3782,0.0,ces
MTX202000177,12,9,8,5,0,0,110,772,0.7860357142857143,0.027450000000000002,0.9263142857142856,512.7592857142857,0.0,0.40919999999999995,0.46505714285714284,0.0,ces
MTX202000222,62,15,8,12,3,0,104,686,0.7472888888888889,0.007714814814814815,0.8677444444444444,1928.4103703703704,0.0,0.37244074074074074,0.5446148148148148,0.0,ces
MTX202000238,5,14,5,3,1,0,139,991,0.8496529411764706,0.0033411764705882354,0.9707235294117647,438.74764705882353,0.0,0.3962411764705882,0.5352235294117648,0.17647058823529413,ces
MTX202000280,178,1,2,1,1,0,26,126,0.67615,0.0,0.9933,1537.5749999999998,0.0,0.36665000000000003,0.5861000000000001,0.0,ces
MTX202000393,9,1,1,0,2,0,12,73,0.7731,0.0,0.9921,337.86,0.0,0.425,0.65,0.0,ces
MTX202000463,17,1,0,1,0,0,27,188,0.7565999999999999,0.03125,0.8797999999999999,423.975,0.5,0.40715,0.5126999999999999,0.0,ces
MTX202000546,27,4,3,1,0,0,54,313,0.79662,0.025,0.99606,365.72,0.0,0.39132,0.5285,0.0,ces
MTX202000591,38,35,1,11,1,0,571,3181,0.7363086956521738,0.02309782608695652,0.9536065217391305,637.5515217391304,0.0,0.37908043478260867,0.5138782608695652,0.0,ces
MTX202000591,1038,1,0,0,0,0,8,55,0.7094,0.0875,0.9957,172.54,0.0,0.4211,0.5789,0.0,ces
MTX202010052,41,2,1,5,1,0,25,146,0.6731428571428572,0.06428571428571428,0.860542857142857,56231.72428571428,0.14285714285714285,0.39381428571428573,0.49184285714285714,0.0,ces
MTX202010152,4,9,7,4,4,0,78,544,0.7837000000000001,0.03467692307692308,0.9121461538461539,2425.88,0.0,0.37206923076923076,0.5152769230769231,0.15384615384615385,ces
MTX202010304,48,2,1,5,1,0,25,146,0.6731428571428572,0.06428571428571428,0.860542857142857,56231.72428571428,0.14285714285714285,0.39381428571428573,0.49184285714285714,0.0,ces
MTX202010332,33,2,1,3,1,0,16,108,0.7070000000000001,0.07999999999999999,0.86258,5391.303999999999,0.0,0.3238,0.49241999999999997,0.4,ces
MTX202010393,20,2,1,3,1,0,16,108,0.70884,0.06999999999999999,0.86258,5393.731999999999,0.0,0.3238,0.49241999999999997,0.6,ces
MTX202010530,2,20,27,14,26,1,45,354,0.766664705882353,0.0,0.9027382352941177,56596.94382352941,0.0,0.40539117647058825,0.45754117647058823,0.0,ces
MTX202100005,263,0,1,2,1,0,14,92,0.6764,0.03635,0.75,1434.63,1.0,0.42725,0.5985,0.0,ces
MTX202100006,828,0,7,4,32,10,18,93,0.5640000000000001,0.062075,0.754975,3233.435,0.25,0.433975,0.625425,0.0,ces
MTX202100042,3,7,1,12,1,0,74,430,0.7110736842105263,0.05240526315789474,0.9210368421052632,504.99789473684206,0.0,0.4504684210526316,0.5055,0.5789473684210527,ces
MTX202100073,80,1,1,3,0,0,17,113,0.6845249999999999,0.0,0.859525,1219.3600000000001,0.0,0.42395,0.452075,0.0,ces
MTX202100107,93,1,1,1,2,0,12,89,0.7028,0.0,0.8746499999999999,888.475,0.0,0.4184,0.5146999999999999,0.0,ces
MTX202100163,46,0,3,1,3,0,18,64,0.6767,0.0,0.75,90.19,0.0,0.3043,0.5217,0.0,ces
MTX202100221,369,16,60,13,78,16,57,360,0.7698379310344827,0.006403448275862069,0.927603448275862,1795.326551724138,0.0,0.3816620689655172,0.5170034482758621,0.0,ces
MTX202100232,6,16,3,1,1,0,167,1358,0.8812823529411764,0.0,0.9852764705882353,813.5899999999999,0.0,0.44072352941176474,0.4966941176470588,0.0,ces
MTX202100308,137,4,7,3,7,0,58,332,0.7475714285714286,0.023828571428571428,0.9978,1079.4057142857143,0.0,0.37237142857142863,0.6005857142857142,0.0,ces
MTX202100335,7,3,2,1,0,0,19,146,0.7928499999999999,0.036475,0.9129,956.21,0.0,0.4306,0.4937,0.0,ces
MTX202100376,14,1,0,0,0,0,15,135,0.9186,0.0,0.9995,487.08,0.0,0.4123,0.5877,0.0,ces
MTX202100399,32,11,2,7,1,1,248,1500,0.7584388888888889,0.0023611111111111107,0.9417555555555555,305.4788888888889,0.0,0.33781111111111106,0.5665111111111112,0.0,ces
MTX202100409,101,2,3,1,1,0,24,132,0.7203333333333334,0.041666666666666664,0.8295,695.5566666666667,0.0,0.3444333333333333,0.4777666666666667,0.0,ces
MTX202100428,14,8,7,31,40,0,197,1457,0.6390461538461538,0.0,0.8689871794871795,13310.885897435897,0.0,0.3872128205128205,0.5156487179487179,0.0,ces
MTX202100461,63,1,3,1,2,0,14,82,0.74865,0.0625,0.9457500000000001,621.865,0.0,0.36475,0.38365,0.0,ces
MTX202100487,94,49,10,15,49,0,219,1666,0.8056171875,0.0,0.9564171875,804.72703125,0.0,0.3888921875,0.424409375,0.015625,ces
MTX202100498,48,51,96,12,159,0,898,5084,0.7308730158730159,0.012842857142857144,0.990863492063492,461.0533333333333,0.0,0.349152380952381,0.5765126984126985,0.0,ces
MTX202100518,8,0,0,6,114,18,6,32,0.53595,0.0,0.9509833333333333,2799.1283333333336,0.0,0.5,0.4722166666666667,0.8333333333333334,ces
MTX202100522,177,15,9,13,3,9,472,2513,0.7471285714285714,0.030792857142857146,0.9471821428571429,188.54964285714283,0.0,0.33243928571428566,0.46142500000000003,0.0,ces
MTX202100525,28,4,1,5,0,0,50,331,0.7306777777777778,0.0,0.8763777777777778,1691.2044444444443,0.0,0.38001111111111113,0.47474444444444447,0.0,ces
MTX202100541,81,11,9,7,1,1,85,579,0.7531722222222222,0.0,0.8788722222222223,19435.63777777778,0.0,0.4082777777777778,0.5161111111111111,0.0,ces
MTX202100546a,44,5,6,9,3,1,31,209,0.7369214285714286,0.0,0.9033571428571429,63193.47928571428,0.0,0.3950714285714286,0.56255,0.0,ces
MTX202100552,469,2,0,0,0,0,12,82,0.85015,0.0,1.0,390.825,0.0,0.38835,0.4773,0.0,ces
MTX202100573,56,3,17,7,14,1,28,191,0.71717,0.01617,0.8450200000000001,558.184,0.0,0.39116999999999996,0.47646,0.0,ces
MTX202100608,88,32,42,85,6,13,427,2344,0.6921188034188035,0.0012820512820512823,0.870248717948718,1549.9594871794873,0.0,0.36014358974358973,0.45345042735042734,0.0,ces
MTX202100632,4,8,11,6,0,0,53,347,0.7332571428571428,0.039021428571428575,0.9494714285714286,3676.6700000000005,0.0,0.4233142857142857,0.5238928571428572,0.0,ces
MTX202100655,140,0,2,3,2,0,35,201,0.6934999999999999,0.057966666666666666,0.8087333333333334,720.2466666666666,0.0,0.39286666666666664,0.5850666666666666,0.0,ces
MTX202100687,4,5,2,7,1,0,107,875,0.7929583333333333,0.007058333333333333,0.9622333333333333,1021.2841666666667,0.25,0.423275,0.5177,0.0,ces
MTX202100703,244,26,137,47,198,0,182,1124,0.719941095890411,0.0,0.9260123287671232,3875.071369863014,0.0,0.3378780821917808,0.6034013698630136,0.0,ces
MTX202100735,8,6,4,5,1,0,80,571,0.7752272727272728,0.029718181818181814,0.8891454545454546,581.9327272727273,0.2727272727272727,0.4044727272727273,0.4762272727272727,0.0,ces
MTX202100777,117,34,17,23,5,12,242,1119,0.7527631578947368,0.008285964912280702,0.854717543859649,1194.2956140350877,0.0,0.4016157894736842,0.45785087719298245,0.0,ces
MTX202100789,5,30,3,4,1,0,344,2574,0.8595411764705883,0.007938235294117649,0.9937176470588236,698.6879411764705,0.08823529411764706,0.41656176470588235,0.49933823529411764,0.0,ces
MTX202110066,5,0,1,2,1,0,6,27,0.66475,0.0,0.75,114545.495,0.0,0.45,0.35,0.0,ces
MTX202110131,2,0,0,0,0,1,0,0,,,,,,,,,
MTX202120006,18,1,2,2,1,0,17,81,0.6737333333333333,0.02666666666666667,0.8727666666666667,977.7966666666666,1.0,0.33946666666666664,0.4660666666666667,0.0,ces
MTX202200011,18,56,118,197,322,1,503,3672,0.6626027667984189,0.0001648221343873518,0.8698245059288537,1943.0175889328063,0.0,0.32080197628458496,0.47340592885375493,0.25296442687747034,ces
MTX202200063,9,6,7,3,2,0,72,514,0.7615222222222222,0.036199999999999996,0.9125222222222222,315.89444444444445,0.0,0.41927777777777775,0.4021888888888889,0.1111111111111111,ces
MTX202200130,14,24,21,10,1,8,86,622,0.7854823529411764,0.0,0.8852529411764706,1825.3776470588236,0.0,0.37151470588235297,0.46285,0.0,ces
MTX202200168,28,4,89,69,224,0,79,474,0.6575561643835616,0.0,0.8308986301369863,18539.277534246576,0.0,0.3843684931506849,0.48231506849315064,0.273972602739726,ces
MTX202200190,235,3,0,4,0,0,19,123,0.7205,0.02428571428571429,0.9822,12946.89,0.0,0.43347142857142856,0.4818142857142857,0.0,ces
MTX202200223,21,1,2,2,0,0,17,88,0.6884666666666667,0.041666666666666664,0.9566666666666667,771.3666666666667,0.0,0.36346666666666666,0.3992,0.0,ces
MTX202200251,3,6,2,15,1,0,83,531,0.6942190476190476,0.03947619047619048,0.9172190476190477,895.4066666666668,0.0,0.4448428571428571,0.5000619047619048,0.047619047619047616,ces
MTX202200290,35,1,1,0,2,0,10,62,0.8122,0.0,1.0,204.45,0.0,0.4651,0.5349,0.0,ces
MTX202200308,254,24,107,57,305,2,344,1917,0.7040518518518518,0.003939506172839506,0.8752456790123457,1072.2297530864198,0.0,0.30756172839506174,0.4447098765432099,0.0,ces
