file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX201601688,1,1,SKU H R O V N A D B Ě L O U,,,ces,0.9998,136.95,13,27,0.0,0,0,0,0,0,0.1962,0.4,0.6,0.3999,Trash,True
CTX201601688,1,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,1,3,"Hrad, sběry 1998",,,ces,0.9994,1098.19,3,16,0.0,0,0,0,0,0,0.0,0.3333,0.4444,0.7303,Clear,False
CTX201601688,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX201601688,1,5,Muzeum a galerie v Rychnově n. Kn.,,,ces,1.0,1361.03,7,34,0.0,0,0,0,0,0,0.0,0.4231,0.5769,0.6601,Noisy,False
CTX201601688,1,6,PhDr. Martina Beková,,,ces,0.75,124.95,3,20,0.0,0,1,0,0,1,0.0333,0.3529,0.4706,0.6999,Noisy,False
CTX201601688,1,7,Bohumír Dragoun,,,ces,0.8297,4193.43,2,15,0.0,0,0,0,0,0,0.0,0.4286,0.5714,0.6999,Noisy,False
CTX201601688,2,1,"SKUHROV NAD BĚLOU hrad, sběry 1998",,,ces,0.9998,611.52,6,34,0.0,0,0,0,0,0,0.0,0.375,0.5417,0.8373,Clear,False
CTX201601688,2,2,Geomorfologický popis,,,ces,0.8482,5718.75,2,21,0.0,0,0,0,0,0,0.0,0.45,0.5,0.6999,Noisy,False
CTX201601688,2,3,"Hrad se nachází na ostrožně nad řekou Bělou, na úpatí svahů svírajících tok Bělé v rámci",,,ces,1.0,145.07,16,88,0.0,0,0,0,0,0,0.0,0.4306,0.3889,0.9011,Clear,False
CTX201601688,2,4,"skuhrovské části Podorlické pahorkatiny (SLÁDEK, J. 1977: Zeměpisné vymezení a",,,ces,0.9983,364.25,10,78,0.0128,0,0,0,0,0,0.0,0.4098,0.4918,0.8535,Clear,False
CTX201601688,2,5,"regionální členění in: Příroda Orlických hor a Podorlicka, Praha 1977, 13-87).",,,ces,1.0,281.55,11,78,0.0128,0,0,0,0,0,0.0,0.4259,0.3333,0.8348,Clear,False
CTX201601688,2,6,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
