file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX193001369,1,1,NĚ KATOVICE,,,ces,1.0,1365.89,2,11,0.0,0,0,0,0,0,0.0,0.5,0.4,0.6699,Noisy,True
CTX193001369,1,2,okr. Brandýs n/L.,,,ces,0.75,687.22,3,17,0.0,0,1,0,0,0,0.0333,0.25,0.5,0.7292,Noisy,False
CTX193001369,1,3,GEC,,,,0.0,0.0,0,3,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,5,"ČSL sTAT""I ARCaACONCCN t., .",,,ces,0.75,2372.11,5,28,0.0357,0,2,0,0,0,0.04,0.3,0.25,0.6133,Noisy,False
CTX193001369,1,6,ŕ : UW Dos & 837mm. i b.,,,ces,0.75,3723.71,8,24,0.0833,1,0,0,0,0,0.1062,0.3,0.8,0.4069,Trash,False
CTX193001369,1,7,UJ - Počet pilo’a,,,ces,0.75,784.59,4,17,0.0588,1,0,0,0,0,0.1,0.5,0.5,0.5962,Noisy,False
CTX193001369,1,8,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,9,Hroby se zvôncovymi poháry.,,,ces,0.9685,1007.3,4,27,0.0,0,0,0,0,0,0.0,0.3913,0.6522,0.7774,Clear,False
CTX193001369,1,10,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,1,11,F,,,,0.0,0.0,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,1,A.,,,,0.0,0.0,0,2,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX193001369,2,2,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,3,NERATOVICE.,,,ces,0.75,673.15,1,11,0.0,0,0,0,0,0,0.0,0.5,0.5,0.8479,Noisy,True
CTX193001369,2,4,okr. Brandýs n/L. GEC,,,ces,0.75,754.6,4,21,0.0,0,1,0,0,0,0.025,0.2667,0.4667,0.7621,Clear,False
CTX193001369,2,5,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX193001369,2,6,Hrobyse zvoncovými poháry,,,ces,0.8634,862.21,3,25,0.0,0,0,0,0,0,0.0,0.4348,0.6522,0.8675,Clear,False
