file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX199603106,1,3,11,8,1,2,57,290,0.6767909090909091,0.06097272727272727,0.9067636363636363,929.0363636363636,0.09090909090909091,0.4158181818181818,0.18181818181818182,ces
CTX199603106,2,21,4,3,1,0,222,1409,0.8357791666666667,0.006395833333333333,0.9906125,671.2570833333333,0.0,0.409125,0.0,ces
CTX199603106,3,26,1,4,1,0,316,1935,0.8543666666666667,0.007376666666666667,0.9883533333333333,445.3626666666667,0.0,0.41382,0.0,ces
CTX199603106,4,25,16,2,2,0,249,1639,0.8530851851851852,0.005266666666666666,0.9994444444444445,539.3685185185185,0.037037037037037035,0.4118148148148148,0.0,ces
CTX199603106,5,11,11,3,1,0,139,893,0.8364571428571429,0.0064285714285714285,0.9999642857142856,519.8835714285714,0.14285714285714285,0.41176428571428575,0.0,ces
CTX199603106,6,14,10,7,2,0,156,947,0.8075857142857142,0.009195238095238095,0.9221571428571429,627.874761904762,0.0,0.40094761904761905,0.0,ces
CTX199603106,8,0,0,0,1,0,0,0,,,,,,,,
CTX199603106,9,0,2,2,2,0,4,17,0.6698500000000001,0.04165,0.875,6987.05,0.0,0.3095,0.0,ces
