file,page_num,Clear,Empty,Noisy,Trash,Non-text,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX195603828,1,30,3,1,2,0,237,1590,0.8396612903225806,0.02005483870967742,0.9988419354838709,561.8832258064516,0.03225806451612903,0.4266774193548387,0.0,ces
CTX195603828,2,7,1,0,0,0,52,364,0.8889571428571428,0.00872857142857143,0.9967142857142858,594.7257142857143,0.0,0.43025714285714284,0.0,ces
