file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX198302416A,1,0,4,6,0,2
CTX198302416A,2,0,7,2,0,0
CTX198302416A,4,0,2,1,0,24
CTX198302416A,5,0,1,1,0,24
CTX198302416A,6,0,1,1,0,24
CTX198302416A,7,0,5,3,0,4
CTX198302416A,8,0,0,1,0,0
CTX198302416A,9,0,8,6,0,9
CTX198302416A,10,0,24,8,0,1
CTX198302416A,11,0,12,0,0,7
CTX198302416A,12,0,18,17,0,1
CTX198302416A,13,0,11,3,0,4
CTX198302416A,14,0,11,5,0,9
CTX198302416A,15,0,16,13,0,2
CTX198302416A,16,0,37,2,0,13
CTX198302416A,17,0,7,6,0,15
CTX198302416A,18,0,16,12,0,2
CTX198302416A,19,0,23,5,0,25
CTX198302416A,20,0,6,3,0,5
CTX198302416A,21,0,10,1,0,5
CTX198302416A,22,0,22,12,0,0
CTX198302416A,23,0,15,17,0,1
CTX198302416A,24,0,12,9,0,18
CTX198302416A,25,0,9,6,0,10
CTX198302416A,26,0,22,15,0,1
CTX198302416A,27,0,5,3,0,2
CTX198302416A,28,0,8,5,0,15
CTX198302416A,29,1,18,14,0,2
CTX198302416A,30,0,7,2,0,1
CTX198302416A,31,0,8,5,0,13
CTX198302416A,32,0,16,12,0,0
CTX198302416A,33,0,7,5,0,14
CTX198302416A,34,0,17,10,0,1
CTX198302416A,35,0,9,5,0,9
CTX198302416A,36,1,14,14,0,8
CTX198302416A,37,0,27,2,0,20
CTX198302416A,38,0,10,2,0,8
CTX198302416A,39,1,18,8,0,0
CTX198302416A,40,0,9,6,0,10
CTX198302416A,41,0,12,13,0,1
CTX198302416A,42,0,5,1,0,0
CTX198302416A,43,0,8,5,0,16
CTX198302416A,44,1,17,10,0,0
CTX198302416A,45,0,8,6,0,16
CTX198302416A,46,0,19,11,0,6
CTX198302416A,47,0,5,1,0,0
CTX198302416A,48,0,9,6,0,10
CTX198302416A,49,0,19,12,0,4
CTX198302416A,50,0,4,0,0,0
CTX198302416A,51,0,8,5,0,15
CTX198302416A,52,0,22,5,0,4
CTX198302416A,53,0,9,1,0,7
CTX198302416A,54,0,20,15,0,0
CTX198302416A,55,0,14,10,0,4
CTX198302416A,56,0,14,14,0,4
CTX198302416A,57,0,7,15,0,7
CTX198302416A,58,0,9,9,0,18
CTX198302416A,59,0,8,10,0,26
CTX198302416A,60,0,16,7,0,6
CTX198302416A,61,0,11,2,0,8
CTX198302416A,62,1,24,11,0,1
CTX198302416A,63,0,22,8,0,8
CTX198302416A,64,0,7,2,0,4
CTX198302416A,65,0,9,6,0,10
CTX198302416A,66,0,21,14,0,4
CTX198302416A,67,0,5,0,0,1
CTX198302416A,68,0,9,6,0,10
CTX198302416A,69,0,14,14,0,1
CTX198302416A,70,0,14,7,0,0
CTX198302416A,71,0,8,6,0,12
CTX198302416A,72,0,18,16,0,1
CTX198302416A,73,0,8,4,0,1
CTX198302416A,74,0,10,5,0,10
CTX198302416A,75,0,22,14,0,2
CTX198302416A,76,0,7,5,0,14
CTX198302416A,77,0,16,9,0,0
CTX198302416A,78,0,5,0,0,0
CTX198302416A,79,0,9,5,0,14
CTX198302416A,80,0,17,13,0,0
CTX198302416A,81,0,8,5,0,15
CTX198302416A,82,0,25,9,0,2
CTX198302416A,83,0,8,5,0,15
CTX198302416A,84,0,19,7,0,1
CTX198302416A,85,0,8,4,0,16
CTX198302416A,86,1,21,9,0,1
CTX198302416A,87,0,9,5,0,8
CTX198302416A,88,0,21,10,0,2
CTX198302416A,89,0,7,0,0,23
CTX198302416A,90,0,17,6,0,0
CTX198302416A,91,0,9,6,0,13
CTX198302416A,92,0,17,17,0,2
CTX198302416A,93,0,15,5,0,5
CTX198302416A,94,0,9,4,0,13
CTX198302416A,95,0,21,15,0,3
CTX198302416A,96,0,8,0,0,2
CTX198302416A,97,0,10,5,0,10
CTX198302416A,98,0,21,14,0,1
CTX198302416A,99,0,12,4,0,3
CTX198302416A,100,0,8,6,0,17
CTX198302416A,101,1,12,15,0,2
CTX198302416A,102,0,11,1,0,7
CTX198302416A,103,0,20,14,0,1
CTX198302416A,104,0,6,3,0,1
CTX198302416A,105,0,8,6,0,17
CTX198302416A,106,1,17,17,0,3
CTX198302416A,107,0,13,12,0,4
CTX198302416A,108,0,5,4,0,3
CTX198302416A,109,0,11,1,0,6
CTX198302416A,110,0,13,15,0,2
CTX198302416A,111,0,9,5,0,7
CTX198302416A,112,0,11,5,0,9
CTX198302416A,113,1,13,10,0,5
CTX198302416A,114,0,6,6,0,3
CTX198302416A,115,0,7,7,0,15
CTX198302416A,116,1,18,18,0,0
CTX198302416A,117,0,18,9,0,1
CTX198302416A,118,0,13,9,0,6
CTX198302416A,119,0,9,5,0,14
CTX198302416A,120,0,21,12,0,1
CTX198302416A,121,0,8,6,0,16
CTX198302416A,122,1,17,20,0,4
CTX198302416A,123,0,14,13,0,2
CTX198302416A,124,0,19,1,0,8
CTX198302416A,125,0,9,6,0,10
CTX198302416A,126,1,16,17,0,0
CTX198302416A,127,0,19,12,0,3
CTX198302416A,128,0,7,5,0,16
CTX198302416A,129,0,19,9,0,5
CTX198302416A,130,0,8,5,0,17
CTX198302416A,131,0,26,10,0,3
CTX198302416A,132,0,11,1,0,5
CTX198302416A,133,1,14,21,0,2
CTX198302416A,134,0,13,20,0,15
CTX198302416A,135,0,8,8,0,4
CTX198302416A,136,0,11,1,0,7
CTX198302416A,137,0,18,16,0,1
CTX198302416A,138,0,11,10,0,3
CTX198302416A,139,0,8,6,0,17
CTX198302416A,140,0,20,18,0,1
CTX198302416A,141,0,11,7,0,4
CTX198302416A,142,0,8,5,0,15
CTX198302416A,143,0,17,10,0,3
CTX198302416A,144,0,10,5,0,10
CTX198302416A,145,1,18,14,0,1
CTX198302416A,146,0,3,3,0,5
CTX198302416A,147,0,7,6,0,16
CTX198302416A,148,0,17,8,0,2
CTX198302416A,149,0,9,6,0,11
CTX198302416A,150,0,21,15,0,2
CTX198302416A,151,0,13,7,0,7
CTX198302416A,152,0,7,1,0,20
CTX198302416A,153,0,16,13,0,3
CTX198302416A,154,0,5,1,0,1
CTX198302416A,155,0,8,5,0,17
CTX198302416A,156,0,20,10,0,4
CTX198302416A,157,0,9,6,0,10
CTX198302416A,158,0,24,17,0,2
CTX198302416A,159,0,15,9,0,3
CTX198302416A,160,0,8,6,0,12
CTX198302416A,161,0,30,6,0,4
CTX198302416A,162,0,9,6,0,11
CTX198302416A,163,0,20,5,0,5
CTX198302416A,164,0,8,6,0,17
CTX198302416A,165,0,17,8,0,2
CTX198302416A,166,0,7,7,0,17
CTX198302416A,167,1,22,12,0,4
CTX198302416A,168,0,6,3,0,3
CTX198302416A,169,0,8,7,0,16
CTX198302416A,170,0,21,9,0,4
CTX198302416A,171,0,6,1,0,1
CTX198302416A,172,0,8,5,0,15
CTX198302416A,173,0,27,8,0,4
CTX198302416A,174,0,9,5,0,14
CTX198302416A,175,0,24,8,0,3
CTX198302416A,176,0,9,6,0,10
CTX198302416A,177,1,20,10,0,2
CTX198302416A,178,0,8,6,0,16
CTX198302416A,179,1,23,6,0,2
CTX198302416A,180,0,9,6,0,10
CTX198302416A,181,1,27,5,0,5
CTX198302416A,182,0,9,1,0,6
CTX198302416A,183,0,13,7,0,1
CTX198302416A,184,0,9,6,0,10
CTX198302416A,185,1,25,6,0,3
CTX198302416A,186,0,9,6,0,11
CTX198302416A,187,1,24,4,0,2
CTX198302416A,188,0,7,5,0,15
CTX198302416A,189,0,21,10,0,3
CTX198302416A,190,0,9,6,0,10
CTX198302416A,191,0,16,8,0,2
CTX198302416A,192,0,8,6,0,15
CTX198302416A,193,0,24,6,0,5
CTX198302416A,194,0,9,4,0,13
CTX198302416A,195,0,10,16,0,1
CTX198302416A,196,0,24,4,0,1
CTX198302416A,197,0,12,6,0,12
CTX198302416A,198,0,13,5,0,11
CTX198302416A,199,0,9,7,0,14
CTX198302416A,200,0,14,3,0,6
CTX198302416A,201,0,11,5,0,14
CTX198302416A,202,0,15,16,0,5
CTX198302416A,203,1,15,6,0,0
CTX198302416A,204,0,8,5,0,15
CTX198302416A,205,0,22,10,0,2
CTX198302416A,206,0,8,5,0,15
CTX198302416A,207,0,25,4,0,4
CTX198302416A,208,0,0,1,0,2
CTX198302416A,209,0,101,3,0,57
CTX198302416A,210,0,55,2,0,34
CTX198302416A,211,0,115,0,0,60
CTX198302416A,212,0,56,0,0,31
CTX198302416A,213,0,56,0,0,34
CTX198302416A,214,0,52,3,0,33
CTX198302416A,215,0,54,1,0,35
CTX198302416A,216,0,84,0,0,36
CTX198302416A,217,0,52,3,0,27
CTX198302416A,218,0,54,1,0,34
CTX198302416A,219,0,58,0,0,29
CTX198302416A,220,0,59,0,0,31
CTX198302416A,221,0,57,3,0,30
CTX198302416A,222,0,55,1,0,31
CTX198302416A,223,0,58,1,0,32
CTX198302416A,224,0,57,3,0,28
CTX198302416A,225,0,55,4,0,31
CTX198302416A,226,0,55,4,0,24
CTX198302416A,227,0,52,3,0,25
CTX198302416A,228,0,56,1,0,28
CTX198302416A,229,0,52,15,0,30
CTX198302416A,230,0,43,1,0,40
CTX198302416A,231,0,41,12,0,28
CTX198302416A,232,0,51,4,0,23
CTX198302416A,233,0,75,17,0,42
CTX198302416A,234,0,51,4,0,34
CTX198302416A,235,0,44,6,0,26
CTX198302416A,236,0,56,1,0,25
CTX198302416A,237,0,80,13,0,30
CTX198302416A,238,0,63,9,0,34
CTX198302416A,239,0,10,16,0,3
CTX198302416A,240,0,3,3,0,1
CTX198302416A,241,0,0,1,0,2
CTX198302416A,242,0,27,2,0,25
CTX198302416A,243,0,33,1,0,41
CTX198302416A,244,0,30,0,0,2
CTX198302416A,245,0,25,1,0,1
CTX198302416A,246,0,28,1,0,1
