file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX195704328,1,31,2,4,5,4,307,1923,8.2973,51.973,0.0245,0.9498,799.3338,0.0811,0.0,0.0,0.0,0.027,0.0048,0.822,ces_Latn
CTX195704328,2,3,0,0,1,0,15,79,5.0,26.3333,0.0,0.9999,771.5433,0.0,0.0,0.0,0.0,0.0,0.0,0.6939,ces_Latn
