file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,ch_ratio,main_lang
CTX192100040,2,23,2,1,1,1,229,1359,0.8494166666666666,0.031454166666666665,0.9853375,0.0,0.08333333333333333,0.41565416666666666,0.0,ces
CTX192100040,3,24,5,0,3,0,269,1646,0.8778416666666667,0.022920833333333335,0.9971166666666668,0.0,0.25,0.41428333333333334,0.0,ces
CTX192100040,4,21,1,0,1,3,217,1389,0.8882333333333333,0.0201,0.9863238095238096,0.0,0.3333333333333333,0.40225714285714287,0.0,ces
CTX192100040,5,30,9,5,1,2,139,873,0.8021942857142856,0.03773142857142857,0.9096542857142857,0.0,0.05714285714285714,0.4119257142857143,0.0,ces
CTX192100040,6,32,0,2,0,0,185,1055,0.8252617647058824,0.015211764705882353,0.9438382352941176,0.0,0.14705882352941177,0.4250911764705882,0.0,ces
CTX192100040,7,9,1,0,1,0,42,255,0.8045666666666667,0.031488888888888886,0.9377555555555556,0.0,0.2222222222222222,0.40836666666666666,0.0,ces
CTX192100040,8,25,2,1,5,2,216,1375,0.8596769230769231,0.016126923076923077,0.9566730769230769,0.0,0.038461538461538464,0.40115769230769227,0.0,ces
CTX192100040,9,4,1,0,0,0,29,211,0.907475,0.0,0.937425,0.0,0.0,0.39637500000000003,0.0,ces
CTX192100040,10,42,20,6,0,7,301,1829,0.8271895833333334,0.05430416666666666,0.8619833333333333,0.0,0.3958333333333333,0.464075,0.0,ces
CTX192100040,11,2,11,7,3,5,43,175,0.6572777777777777,0.11581111111111111,0.8565777777777778,0.0,0.5555555555555556,0.3528222222222222,0.1111111111111111,ces
CTX192100040,12,0,1,1,1,0,6,16,0.6368,0.0833,0.994,0.0,0.0,0.5,0.0,ces
CTX192100040,13,14,4,1,0,2,97,553,0.82398,0.02826,0.9746333333333334,0.0,0.06666666666666667,0.39551333333333333,0.0,ces
CTX192100040,14,3,4,4,0,1,43,181,0.6667,0.09821428571428571,0.7782571428571429,0.0,0.8571428571428571,0.3930285714285714,0.0,ces
CTX192100040,15,2,5,2,0,2,12,48,0.6854750000000001,0.05625,0.871675,0.0,0.25,0.3631,0.0,ces
CTX192100040,16,2,1,0,0,1,11,47,0.72595,0.0889,0.75,0.0,0.5,0.3712,0.0,ces
