file,page_num,Clear,Trash,Noisy,Empty,Non-text
CTX197802772,1,0,3,1,0,2
CTX197802772,2,0,5,10,0,2
CTX197802772,3,1,8,4,0,3
CTX197802772,4,0,5,6,0,1
CTX197802772,5,0,5,6,0,3
CTX197802772,6,1,7,4,0,4
CTX197802772,7,0,4,3,0,2
CTX197802772,8,1,15,11,0,3
CTX197802772,9,0,7,5,0,1
CTX197802772,10,0,12,13,0,10
CTX197802772,11,0,5,1,0,4
CTX197802772,12,0,18,12,0,3
CTX197802772,13,0,0,3,0,6
CTX197802772,14,0,4,4,0,3
CTX197802772,15,0,5,5,0,2
CTX197802772,16,1,8,9,0,3
CTX197802772,17,0,5,5,0,2
CTX197802772,18,1,7,3,0,1
CTX197802772,19,0,5,0,0,1
CTX197802772,20,0,3,1,0,4
CTX197802772,21,0,8,6,0,6
CTX197802772,22,0,3,4,0,1
CTX197802772,23,0,10,14,0,7
CTX197802772,24,1,3,10,0,2
CTX197802772,25,0,5,2,0,2
CTX197802772,26,0,3,4,0,0
CTX197802772,27,0,6,18,0,4
CTX197802772,28,0,4,1,0,2
CTX197802772,29,0,5,1,0,1
CTX197802772,30,0,3,3,0,1
CTX197802772,31,0,6,6,0,2
CTX197802772,32,0,7,4,0,4
CTX197802772,33,0,3,6,0,1
CTX197802772,34,0,5,6,0,1
CTX197802772,35,1,10,17,0,4
CTX197802772,36,0,8,3,0,2
CTX197802772,37,0,4,4,0,1
CTX197802772,38,0,6,7,0,4
CTX197802772,39,0,3,0,0,3
CTX197802772,41,1,4,7,0,1
CTX197802772,42,0,5,3,0,2
CTX197802772,43,0,7,4,0,3
CTX197802772,44,0,5,5,0,4
CTX197802772,45,0,2,5,0,3
CTX197802772,46,0,7,5,0,3
CTX197802772,47,0,5,4,0,2
CTX197802772,48,0,2,2,0,2
CTX197802772,49,0,5,3,0,2
CTX197802772,50,0,6,2,0,1
CTX197802772,51,0,13,21,0,3
CTX197802772,52,0,11,9,0,2
CTX197802772,53,0,12,6,0,6
CTX197802772,54,0,12,9,0,3
CTX197802772,55,0,6,14,0,3
CTX197802772,56,0,5,5,0,2
CTX197802772,57,0,7,4,0,2
CTX197802772,58,0,5,3,0,3
CTX197802772,59,0,7,0,0,2
CTX197802772,60,0,5,1,0,1
CTX197802772,61,0,7,5,0,1
CTX197802772,62,0,5,3,0,1
CTX197802772,63,0,5,5,0,6
CTX197802772,64,0,9,5,0,1
CTX197802772,65,0,2,2,0,2
CTX197802772,66,1,5,14,0,1
CTX197802772,67,0,8,2,0,2
CTX197802772,68,0,5,5,0,3
CTX197802772,69,0,9,6,0,8
CTX197802772,70,0,6,6,0,4
CTX197802772,71,2,9,16,0,2
CTX197802772,72,0,5,3,0,1
CTX197802772,73,0,7,12,0,4
CTX197802772,74,0,2,3,0,2
CTX197802772,75,0,4,5,0,1
CTX197802772,76,0,12,11,0,9
CTX197802772,77,0,5,3,0,3
CTX197802772,78,0,3,10,0,6
CTX197802772,79,0,3,4,0,2
CTX197802772,80,0,8,2,0,3
CTX197802772,81,0,10,17,0,4
CTX197802772,82,0,13,6,0,6
CTX197802772,83,0,6,22,0,3
CTX197802772,84,1,5,11,0,8
CTX197802772,85,0,8,16,0,4
CTX197802772,86,1,7,2,0,2
CTX197802772,87,0,13,22,0,6
CTX197802772,88,1,9,18,0,9
CTX197802772,89,0,1,2,0,2
CTX197802772,90,1,3,8,0,5
CTX197802772,91,0,11,7,0,1
CTX197802772,93,0,3,4,0,7
CTX197802772,94,1,7,10,0,5
CTX197802772,95,0,7,4,0,4
CTX197802772,96,0,4,18,0,2
CTX197802772,97,0,8,10,0,1
CTX197802772,98,0,10,11,0,3
CTX197802772,99,0,4,15,0,1
CTX197802772,100,0,7,5,0,5
CTX197802772,101,0,7,15,0,2
CTX197802772,102,1,7,20,0,3
CTX197802772,103,0,6,2,0,1
CTX197802772,104,1,10,16,0,4
CTX197802772,105,0,8,13,0,1
CTX197802772,106,0,6,10,0,1
CTX197802772,107,0,10,16,0,1
CTX197802772,108,0,7,2,0,2
CTX197802772,109,0,9,2,0,2
CTX197802772,110,0,22,7,0,2
CTX197802772,111,0,5,2,0,2
CTX197802772,112,0,6,4,0,3
