file,page_num,Clear,Empty,Noisy,Trash,Non-text,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX195603828,1,29,3,3,1,0,204,1565,0.92086875,0.009796875,0.98718125,1222.6228125,0.03125,0.42419687500000003,0.510784375,0.0,ces
CTX195603828,2,6,1,1,0,0,52,364,0.9381571428571428,0.0015857142857142858,0.9967142857142858,109.75,0.0,0.43025714285714284,0.5886714285714286,0.0,ces
