file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX201601688,1,2,2,2,0,1,13,84,0.721325,0.008325,0.937325,405.0,0.0,0.377325,0.522975,0.0,ces
CTX201601688,2,32,7,1,2,0,241,1613,0.8921757575757576,0.0012636363636363637,0.9780363636363636,188.1969696969697,0.0,0.4012787878787879,0.4950060606060606,0.0,ces
CTX201601688,3,42,18,10,9,1,192,1108,0.7951442307692307,0.015317307692307693,0.9104173076923078,390.1705769230769,0.0,0.36893076923076923,0.4816115384615385,0.0,ces
CTX201601688,4,2,0,0,0,0,14,92,0.9119999999999999,0.0,1.0,197.25,0.0,0.40285,0.51485,0.0,ces
CTX201601688,5,1,0,0,0,0,15,81,0.8595,0.0167,0.991,53.75,0.0,0.3953,0.5349,0.0,ces
CTX201601688,6,1,0,0,0,0,15,81,0.8595,0.0167,0.99,53.75,0.0,0.3953,0.5349,0.0,ces
CTX201601688,7,1,2,3,2,1,25,126,0.68245,0.054175,0.9269000000000001,2569.125,0.75,0.2884,0.413575,0.0,ces
