file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,word_count,char_count,garbage_density,symbol,upper,repeated,ldl_fuses,fused_words,gibberish,word_weird,vowel_ratio,rot_ratio,quality_score,categ,caps_header
CTX195704328,1,1,Kat- obec: C H 0 D O UNY,,,ces,0.75,1408.0,8,24,0.0417,0,0,0,0,0,0,0.2437,0.4286,0.5714,0.328,Trash,False
CTX195704328,1,2,Osada:,,,ces,0.9951,850.0,1,6,0.1667,0,0,0,0,0,0,0.0,0.6,0.6,0.7782,Noisy,False
CTX195704328,1,3,Trať: Čmejlova pískovna,,,ces,0.9887,123.0,3,23,0.0435,0,0,0,0,0,0,0.0,0.35,0.45,0.92,Clear,False
CTX195704328,1,4,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX195704328,1,5,tou;,,,ces,0.75,850.0,1,4,0.25,0,0,0,0,0,0,0.0,0.6667,0.6667,0.7255,Noisy,False
CTX195704328,1,6,Okres: Roudnice n. Labem,,,ces,0.7671,368.0,4,24,0.0417,0,0,0,0,0,0,0.0,0.4211,0.6316,0.9,Clear,False
CTX195704328,1,7,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX195704328,1,8,4 - 1957,,,,0.0,0.0,0,8,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Non-text,False
CTX195704328,1,9,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX195704328,1,10,T>r«l.. a k«Uurn: ojedinělý - únětická,,,ces,1.0,1592.0,6,38,0.1053,2,0,0,0,0,1,0.15,0.4615,0.3077,0.5837,Noisy,False
CTX195704328,1,11,pohřebiště - lužická,,,ces,1.0,112.0,3,20,0.0,0,0,0,0,0,0,0.0,0.4118,0.2941,0.8667,Noisy,False
CTX195704328,1,12,ved. výzkurnu,,,ces,0.9964,850.0,2,13,0.0,0,0,0,0,0,0,0.0,0.3636,0.7273,0.8353,Noisy,False
CTX195704328,1,13,Zdráva / za obdobi,,,ces,0.9585,1368.0,4,18,0.0,0,0,0,0,0,0,0.0,0.4286,0.6429,0.7043,Noisy,False
CTX195704328,1,14,veý. oddélcni,,,ces,0.75,850.0,2,13,0.0,0,0,0,0,0,0,0.0,0.4545,0.5455,0.8116,Noisy,False
CTX195704328,1,15,,,,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX195704328,1,16,"Dne 26.1X.1957 jsem zajel do Chodoun, abych zjistil možnosti",,,ces,0.9995,53.0,9,60,0.0,0,0,0,0,0,0,0.0,0.3571,0.5952,0.9182,Clear,False
CTX195704328,1,17,"výzkumu lužického žárového pohřebiště, plánovaného na srpen 1958# Naleziště",Na,,ces,1.0,39.25,9,75,0.0133,1,0,0,0,0,0,0.0444,0.4262,0.459,0.9174,Clear,False
CTX195704328,1,18,"je asi 1 km vých. od obce v malé pískovně, kde místní občané",,leziště,ces,0.9998,60.0,13,60,0.0,0,0,0,0,0,0,0.0192,0.4,0.5333,0.9,Clear,False
CTX195704328,1,19,těží dle potřeby písek. Přilehlé pole je oseto vojtěškou. Majitel obou,,,ces,1.0,84.5,11,70,0.0,0,0,0,0,0,0,0.0,0.4655,0.5172,0.9508,Clear,False
CTX195704328,1,20,pozemků neměl námitek proti provedení výzkumu.,,,ces,1.0,87.0,6,46,0.0,0,0,0,0,0,0,0.0,0.425,0.625,0.961,Clear,False
CTX195704328,1,21,"V těchto místech byl koncem r.1954 rozrušen 1 žárový hrob, obložený",ob,,ces,1.0,43.25,11,67,0.0,0,0,0,0,0,0,0.0227,0.36,0.5,0.9109,Clear,False
CTX195704328,1,22,opukovými deskami a s keramikou s hladce vymezenými prsovitý-,,ložený,ces,0.9885,197.0,9,61,0.0,0,0,0,0,0,0,0.0,0.4615,0.5769,0.9,Clear,False
CTX195704328,1,23,mi vypnulinami (převzal tehdy referent v zastoupení KM Teplice).,,,ces,1.0,185.0,9,64,0.0,0,0,0,0,0,0,0.0,0.3962,0.5849,0.9,Clear,False
CTX195704328,1,24,V r.1955 získalo odtud museum v Budyni n.Ohří další rozrušený hrob,,,ces,0.9979,197.0,11,66,0.0,0,0,0,0,0,0,0.0091,0.4,0.6,0.9,Clear,False
CTX195704328,1,25,"(velký okřín a zlomky dalších asi 5 nádob; další nález, okolnosti neznámy).",ne,,ces,0.9905,87.0,12,75,0.0133,0,0,0,0,0,0,0.0208,0.4138,0.5,0.9212,Clear,False
CTX195704328,1,26,,,známy).,,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Empty,False
CTX195704328,1,27,"Při své poslední návštěvě 26.IX. jsem zjistil, že těžební",,,ces,1.0,15.19,9,57,0.0,0,0,0,0,0,0,0.0,0.3636,0.5,0.9217,Clear,False
CTX195704328,1,28,plocha se proti roku 1955 zvětšila cca 5 krát. Odkryvem byl rozrušen,rozru,,ces,1.0,77.0,12,68,0.0,0,0,0,0,0,0,0.0208,0.3725,0.451,0.9139,Clear,False
CTX195704328,1,29,"další, v pořadí již třetí hrob, z jehož obložení se zachovaly",,šen,ces,1.0,18.0,11,61,0.0,0,0,0,0,0,0,0.0,0.4082,0.449,0.914,Clear,False
